年號,起訖時間,使用年數,備註
渤海高王大祚榮（在位：698年－719年）,渤海高王大祚榮（在位：698年－719年）,渤海高王大祚榮（在位：698年－719年）,渤海高王大祚榮（在位：698年－719年）
天統,？,？,見於黃維翰《渤海國記》，金毓黻在《校錄》說明年號出自黃義敦《朝鮮歷史》，但來源沒有依據。
渤海武王大武藝（在位：719年－737年）,渤海武王大武藝（在位：719年－737年）,渤海武王大武藝（在位：719年－737年）,渤海武王大武藝（在位：719年－737年）
仁安,719年－737年,19年,
渤海文王大欽茂（在位：737年－793年）,渤海文王大欽茂（在位：737年－793年）,渤海文王大欽茂（在位：737年－793年）,渤海文王大欽茂（在位：737年－793年）
大興,737年－793年,57年,大興三十八年（774年）改元寶曆，晚年（具體何年不詳）仍用大興年號。
寶曆,774年－？,？,該年號諸史未載。此寶曆非唐敬宗的寶曆年號。
渤海成王大華璵（在位：793年－794年）,渤海成王大華璵（在位：793年－794年）,渤海成王大華璵（在位：793年－794年）,渤海成王大華璵（在位：793年－794年）
中興,794年,1年,
渤海康王大嵩璘（在位：794年－808年）,渤海康王大嵩璘（在位：794年－808年）,渤海康王大嵩璘（在位：794年－808年）,渤海康王大嵩璘（在位：794年－808年）
正曆,795年－807年,13年,
渤海定王大元瑜（在位：808年－812年）,渤海定王大元瑜（在位：808年－812年）,渤海定王大元瑜（在位：808年－812年）,渤海定王大元瑜（在位：808年－812年）
永德,808年－811年,4年,
渤海僖王大言義（在位：812年－817年）,渤海僖王大言義（在位：812年－817年）,渤海僖王大言義（在位：812年－817年）,渤海僖王大言義（在位：812年－817年）
朱雀,812年－816年,5年,
渤海簡王大明忠（在位：817年－818年）,渤海簡王大明忠（在位：817年－818年）,渤海簡王大明忠（在位：817年－818年）,渤海簡王大明忠（在位：817年－818年）
太始,817年,1年,
渤海宣王大仁秀（在位：818年－830年）,渤海宣王大仁秀（在位：818年－830年）,渤海宣王大仁秀（在位：818年－830年）,渤海宣王大仁秀（在位：818年－830年）
建興,818年－830年,13年,
大彝震（在位：830年－857年）,大彝震（在位：830年－857年）,大彝震（在位：830年－857年）,大彝震（在位：830年－857年）
咸和,831年－857年,27年,大彝震之後，尚有多位繼承者不詳世次，年號均無考。
大虔晃（在位：857年－871年）,大虔晃（在位：857年－871年）,大虔晃（在位：857年－871年）,大虔晃（在位：857年－871年）
？？,858年－871年,14年,金毓黻考訂大虔晃曾使用年號紀年，名稱不明。
大玄錫（在位：871年－893年）,大玄錫（在位：871年－893年）,大玄錫（在位：871年－893年）,大玄錫（在位：871年－893年）
？？,872年－893年,22年,金毓黻考訂大虔晃曾使用年號紀年，名稱不明。
大瑋瑎（在位：893年－906年）,大瑋瑎（在位：893年－906年）,大瑋瑎（在位：893年－906年）,大瑋瑎（在位：893年－906年）
？？,894年－906年,13年,金毓黻考訂大虔晃曾使用年號紀年，名稱不明。
大諲譔（在位：906年－926年）,大諲譔（在位：906年－926年）,大諲譔（在位：906年－926年）,大諲譔（在位：906年－926年）
？？,907年－926年,20年,金毓黻考訂大虔晃曾使用年號紀年，名稱不明。
