年號,起訖時間,使用年數,備註
魏文帝曹丕（在位：220年－226年）,魏文帝曹丕（在位：220年－226年）,魏文帝曹丕（在位：220年－226年）,魏文帝曹丕（在位：220年－226年）
黃初,220年十月－226年,7年,黃初七年（226年）五月魏明帝即位沿用。
魏明帝曹叡（在位：226年－239年）,魏明帝曹叡（在位：226年－239年）,魏明帝曹叡（在位：226年－239年）,魏明帝曹叡（在位：226年－239年）
太和,227年－233年正月,7年,
青龍,233年二月－237年三月,5年,
景初,237年四月－239年,3年,從元年起用丑正，改青龍四年三月為景初元年四月。景初三年（239年）正月齊王曹芳即位沿用。
魏齊王曹芳（在位：239年－254年）,魏齊王曹芳（在位：239年－254年）,魏齊王曹芳（在位：239年－254年）,魏齊王曹芳（在位：239年－254年）
正始,240年－249年四月,10年,復寅正。
嘉平,249年四月－254年十月,6年,
魏高貴鄉公曹髦（在位：254年－260年）,魏高貴鄉公曹髦（在位：254年－260年）,魏高貴鄉公曹髦（在位：254年－260年）,魏高貴鄉公曹髦（在位：254年－260年）
正元,254年十月－256年五月,3年,
甘露,256年六月－260年五月,5年,
魏元帝曹奐（在位：260年－265年）,魏元帝曹奐（在位：260年－265年）,魏元帝曹奐（在位：260年－265年）,魏元帝曹奐（在位：260年－265年）
景元,260年六月－264年五月,5年,
咸熙,264年五月－265年閏十一月,2年,
