年號,起訖時間,使用年數,備註
李特（在位：303年）,李特（在位：303年）,李特（在位：303年）,李特（在位：303年）
建初,303年－304年九月,2年,建初元年（303年）二月李流即位沿用。
成武帝李雄（在位：304年－334年）,成武帝李雄（在位：304年－334年）,成武帝李雄（在位：304年－334年）,成武帝李雄（在位：304年－334年）
建興,304年十月－306年六月,3年,
晏平,306年六月－310年,5年,或作宣平。
玉衡,311年－334年,24年,玉衡二十四年（334年）六月李班即位沿用，十月李期即位沿用。
大武,？,？,一般認為大武年號並不存在。《晉載記》中稱「改元大武」，乃是該書轉寫《三十國春秋》誤寫「改年大成」所致。「改年大成」又是因為成漢國號「大成」，《魏書》稱「雄稱帝，號大成，改元晏平」之誤。
成幽公李期（在位：334年－338年）,成幽公李期（在位：334年－338年）,成幽公李期（在位：334年－338年）,成幽公李期（在位：334年－338年）
玉恆,335年－338年三月,4年,《歷代建元考》認為《華陽國志》沒有玉衡，只有玉恆，可能是玉衡是李期所改，李雄並沒有改元玉衡，而記載錯誤，誤以為是李雄年號；也有可能是李期沒有改元，而是沿用李雄年號。但是這兩個年號無從考質。
漢昭文帝李壽（在位：338年－343年）,漢昭文帝李壽（在位：338年－343年）,漢昭文帝李壽（在位：338年－343年）,漢昭文帝李壽（在位：338年－343年）
漢興,338年四月－343年,6年,漢興六年（343年）八月李勢即位沿用。
漢歸義侯李勢（在位：343年－347年）,漢歸義侯李勢（在位：343年－347年）,漢歸義侯李勢（在位：343年－347年）,漢歸義侯李勢（在位：343年－347年）
太和,344年－346年九月,3年,
嘉寧,346年十月－347年三月,2年,
