年號,起訖時間,使用年數,備註
大理太祖段思平（在位：937年－944年）,大理太祖段思平（在位：937年－944年）,大理太祖段思平（在位：937年－944年）,大理太祖段思平（在位：937年－944年）
文德,938年－944年,7年,
神武,？,？,只見於沈德符《歷代正閏考》，王雲認為是將段思平的謚號誤作年號。
大理文經帝段思英（在位：945年）,大理文經帝段思英（在位：945年）,大理文經帝段思英（在位：945年）,大理文經帝段思英（在位：945年）
文經,945年,1年,《紀元編》作「文經武略」。
大理聖慈帝段思良（在位：946年－951年）,大理聖慈帝段思良（在位：946年－951年）,大理聖慈帝段思良（在位：946年－951年）,大理聖慈帝段思良（在位：946年－951年）
至治,946年－951年,6年,或作致治，《雲南志略》誤作主治。
大理廣慈帝段思聰（在位：952年－968年）,大理廣慈帝段思聰（在位：952年－968年）,大理廣慈帝段思聰（在位：952年－968年）,大理廣慈帝段思聰（在位：952年－968年）
明德,952年,1年,
廣德,953年－967年,15年,
順德,968年,1年,或作聖德。
大理應道帝段素順（在位：969年－985年）,大理應道帝段素順（在位：969年－985年）,大理應道帝段素順（在位：969年－985年）,大理應道帝段素順（在位：969年－985年）
明政,969年－985年,17年,或作明正。
大理昭明帝段素英（在位：986年－1009年）,大理昭明帝段素英（在位：986年－1009年）,大理昭明帝段素英（在位：986年－1009年）,大理昭明帝段素英（在位：986年－1009年）
廣明,986年－988年,3年,
明聖,989年－991年,3年,
明統,992年－996年,5年,一作「明德」。《玉海》「或曰明侯」。
明治,997年－1005年,9年,
明應,1006年－1009年,4年,
明法,？,？,疑是明治之誤。
廣德,？,？,疑是廣明或明德之誤。
明運,？,？,恐傳聞之誤。
大理宣肅帝段素廉（在位：1010年－1022年）,大理宣肅帝段素廉（在位：1010年－1022年）,大理宣肅帝段素廉（在位：1010年－1022年）,大理宣肅帝段素廉（在位：1010年－1022年）
明啟,1010年－1022年,13年,或作「啟明天聖」。
乾興,？,？,只見於《滇載記》，李家瑞認為是同時期的宋真宗紀元誤作段素廉的紀元。
大理秉義帝段素隆（在位：1023年－1026年）,大理秉義帝段素隆（在位：1023年－1026年）,大理秉義帝段素隆（在位：1023年－1026年）,大理秉義帝段素隆（在位：1023年－1026年）
明通,1023年－1026年,4年,《紀元編》作「明通天聖」，李家瑞認為「天聖」是讚美之詞。
大理聖德帝段素真（在位：1027年－1041年）,大理聖德帝段素真（在位：1027年－1041年）,大理聖德帝段素真（在位：1027年－1041年）,大理聖德帝段素真（在位：1027年－1041年）
正治,1027年－1041年,15年,
大理天明帝段素興（在位：1042年－1044年）,大理天明帝段素興（在位：1042年－1044年）,大理天明帝段素興（在位：1042年－1044年）,大理天明帝段素興（在位：1042年－1044年）
聖明,1042年,1年,
天明,1043年－1044年,2年,
大理世宗段思廉（在位：1045年－1074年）,大理世宗段思廉（在位：1045年－1074年）,大理世宗段思廉（在位：1045年－1074年）,大理世宗段思廉（在位：1045年－1074年）
保安,1045年－1052年,8年,
政安,1053年－1061年,9年,或作正安。
正德,1062年－1073年,12年,或作政德。
保德,1074年－1075年,2年,
太安,？,？,見於《雲南志略》。
明侯,？,？,見於《紀元編》。
大理上德帝段廉義（在位：1075年－1080年）,大理上德帝段廉義（在位：1075年－1080年）,大理上德帝段廉義（在位：1075年－1080年）,大理上德帝段廉義（在位：1075年－1080年）
上德,1076年,1年,
廣安,1077年－1080年,4年,
大理上明帝段壽輝（在位：1080年－1081年）,大理上明帝段壽輝（在位：1080年－1081年）,大理上明帝段壽輝（在位：1080年－1081年）,大理上明帝段壽輝（在位：1080年－1081年）
上明,1081年,1年,倪輅《南詔野史》作太明。
大理保定帝段正明（在位：1081年－1094年）,大理保定帝段正明（在位：1081年－1094年）,大理保定帝段正明（在位：1081年－1094年）,大理保定帝段正明（在位：1081年－1094年）
保立,1082年,1年,或作保定。李家瑞認為是把諡號誤作年號。
建安,1083年－1091年,9年,
天祐,1091年－1093年,3年,
