年號,起訖時間,使用年數,備註
大理中宗段正淳（在位：1096年－1108年）,大理中宗段正淳（在位：1096年－1108年）,大理中宗段正淳（在位：1096年－1108年）,大理中宗段正淳（在位：1096年－1108年）
天授,1096年,1年,
明開,1097年－1103年,7年,誤作開明。
天政,1103年－1104年,2年,或作天正。
文安,1104年－1108年,5年,
大理憲宗段正嚴（在位：1108年－1147年）,大理憲宗段正嚴（在位：1108年－1147年）,大理憲宗段正嚴（在位：1108年－1147年）,大理憲宗段正嚴（在位：1108年－1147年）
日新,1108年－1109年,2年,
文治,1110年－1121年,12年,《滇載記》等書無此年號。《紀元編》則列在廣運之後。李崇智從《滇雲歷年傳》和胡蔚《野史》，列於日新和永嘉之間。
嘉永,1122年－1128年,7年,上海博物館收藏的阿嵯耶觀音像作嘉永，雲南文獻作永嘉，《紀元編》注云「一作文嘉」。
保天,1129年－1137年,9年,或作天保。
廣運,1138年－1147年,10年,
大理景宗段正興（在位：1147年─1171年）,大理景宗段正興（在位：1147年─1171年）,大理景宗段正興（在位：1147年─1171年）,大理景宗段正興（在位：1147年─1171年）
永貞,1147年－1148年,2年,即位當年改元。
大寶,1149年－1156年,8年,或作天寶、人寶。
龍興,1157年－1161年,5年,
盛明,1162年－1163年,2年,《紀元編》稱一作「建德」。
建德,1164年－1171年,8年,
大理宣宗段智興（在位：1172年－1200年）,大理宣宗段智興（在位：1172年－1200年）,大理宣宗段智興（在位：1172年－1200年）,大理宣宗段智興（在位：1172年－1200年）
利貞,1172年－1175年,4年,《桂海虞衡志》作「利正」。
盛德,1176年－1180年,5年,倪輅《南詔野史》作「亨時」。
嘉會,1181年－1184年,4年,倪輅《南詔野史》作「元嘉」。
元亨,1185年－1195年,11年,誤作「亨利」。
定安,1195年四月後－1200年七月,6年,雲南文獻作安定。
亨時,？,？,見於《紀元編》。
大理亨天帝段智廉（在位：1200年－1204年）,大理亨天帝段智廉（在位：1200年－1204年）,大理亨天帝段智廉（在位：1200年－1204年）,大理亨天帝段智廉（在位：1200年－1204年）
鳳曆,1200年八月－？,？,王崧《雲南備徵志》記載段智廉於南宋慶元六年（1200年）八月即位並改元。
元壽,？－1204年,？,
大理神宗段智祥（在位：1204年－1238年）,大理神宗段智祥（在位：1204年－1238年）,大理神宗段智祥（在位：1204年－1238年）,大理神宗段智祥（在位：1204年－1238年）
天開,1205年－1225年,21年,
天輔,1226年,1年,
仁壽,1227年－1238年,12年,
大理孝義帝段祥興（在位：1239年－1251年）,大理孝義帝段祥興（在位：1239年－1251年）,大理孝義帝段祥興（在位：1239年－1251年）,大理孝義帝段祥興（在位：1239年－1251年）
道隆,1239年－1251年,13年,
大理天定賢王段興智（在位：1251年－1254年）,大理天定賢王段興智（在位：1251年－1254年）,大理天定賢王段興智（在位：1251年－1254年）,大理天定賢王段興智（在位：1251年－1254年）
天定,1251年－1254年,4年,
利正,？,？,見於李兆洛《紀元編》和胡蔚《南詔野史》。
興正,？,？,見於李兆洛《紀元編》和胡蔚《南詔野史》。
