年號,起訖時間,使用年數,備註
漢光武帝劉秀（在位：25年－57年）,漢光武帝劉秀（在位：25年－57年）,漢光武帝劉秀（在位：25年－57年）,漢光武帝劉秀（在位：25年－57年）
建武,25年六月－56年四月,32年,
建武中元,56年四月－57年,2年,"一作中元，《東觀漢記》誤作中平。
建武中元二年（57年）二月漢明帝即位沿用。"
漢明帝劉莊（在位：57年－75年）,漢明帝劉莊（在位：57年－75年）,漢明帝劉莊（在位：57年－75年）,漢明帝劉莊（在位：57年－75年）
永平,58年－75年,18年,永平十八年（75年）八月漢章帝即位沿用。
漢章帝劉炟（在位：75年－88年）,漢章帝劉炟（在位：75年－88年）,漢章帝劉炟（在位：75年－88年）,漢章帝劉炟（在位：75年－88年）
建初,76年－84年八月,9年,
元和,84年八月－87年七月,4年,
章和,87年七月－88年,2年,章和二年（88年）二月漢和帝即位沿用。
漢和帝劉肇（在位：88年－105年）,漢和帝劉肇（在位：88年－105年）,漢和帝劉肇（在位：88年－105年）,漢和帝劉肇（在位：88年－105年）
永元,89年－105年三月,17年,
元興,105年四月－十二月,1年,
漢殤帝劉隆（在位：106年）,漢殤帝劉隆（在位：106年）,漢殤帝劉隆（在位：106年）,漢殤帝劉隆（在位：106年）
延平,106年,1年,延平元年（106年）八月漢安帝即位沿用。
漢安帝劉祜（在位：106年－125年）,漢安帝劉祜（在位：106年－125年）,漢安帝劉祜（在位：106年－125年）,漢安帝劉祜（在位：106年－125年）
永初,107年－113年,7年,
元初,114年正月－120年四月,7年,
永寧,120年四月－121年六月,2年,
建光,121年七月－122年三月,2年,
延光,122年三月－125年,4年,延光四年（125年）三月北鄉侯劉懿即位沿用；同年十一月漢順帝即位沿用。
漢順帝劉保（在位：125年－144年）,漢順帝劉保（在位：125年－144年）,漢順帝劉保（在位：125年－144年）,漢順帝劉保（在位：125年－144年）
永建,126年－132年三月,7年,
陽嘉,132年三月－135年,4年,
永和,136年正月－141年,6年,
漢安,142年正月－144年四月,3年,
建康,144年四月－十二月,1年,建康元年（144年）八月漢沖帝即位沿用。
漢沖帝劉炳（在位：144年－145年）,漢沖帝劉炳（在位：144年－145年）,漢沖帝劉炳（在位：144年－145年）,漢沖帝劉炳（在位：144年－145年）
永嘉,145年,1年,"或作永熹、永憙，袁宏《後漢紀》誤作元嘉。
永嘉元年（145年）正月漢質帝即位沿用。
清代以來學者多從「永憙」說，有人根據宋代文獻及出土的金石銘文，認為作「永嘉」不誤。"
漢質帝劉纘（在位：145年－146年）,漢質帝劉纘（在位：145年－146年）,漢質帝劉纘（在位：145年－146年）,漢質帝劉纘（在位：145年－146年）
本初,146年,1年,本初元年（146年）閏六月漢桓帝即位沿用。
漢桓帝劉志（在位：147年－167年）,漢桓帝劉志（在位：147年－167年）,漢桓帝劉志（在位：147年－167年）,漢桓帝劉志（在位：147年－167年）
建和,147年－149年,3年,
和平,150年,1年,
元嘉,151年正月－153年五月,3年,
永興,153年五月－154年,2年,
永壽,155年正月－158年六月,4年,
延熹,158年六月－167年六月,10年,
永康,167年六月－十二月,1年,
漢靈帝劉宏（在位：168年－189年）,漢靈帝劉宏（在位：168年－189年）,漢靈帝劉宏（在位：168年－189年）,漢靈帝劉宏（在位：168年－189年）
建寧,168年正月－172年五月,5年,
熹平,172年五月－178年三月,7年,
光和,178年三月－184年,7年,
中平,184年十二月－189年三月,6年,
漢少帝劉辯（在位：189年）,漢少帝劉辯（在位：189年）,漢少帝劉辯（在位：189年）,漢少帝劉辯（在位：189年）
光熹,189年四月－八月,1年,
昭寧,189年八月－九月,1年,
漢獻帝劉協（在位：189年－220年）,漢獻帝劉協（在位：189年－220年）,漢獻帝劉協（在位：189年－220年）,漢獻帝劉協（在位：189年－220年）
永漢,189年九月－十二月,1年,
中平,189年十二月,－,永漢元年（189年）十二月，董卓以獻帝名義下詔，廢除光熹、昭寧、永漢三年號，復稱中平六年。
初平,190年－193年,4年,
興平,194年正月－195年,2年,
建安,196年正月－220年二月,25年,劉備、孫權仍行漢建安年號。
延康,220年三月－十月,1年,
