年號,起訖時間,使用年數,備註
晉元帝司馬睿（在位：318年－322年）,晉元帝司馬睿（在位：318年－322年）,晉元帝司馬睿（在位：318年－322年）,晉元帝司馬睿（在位：318年－322年）
建武,317年三月－318年三月,2年,
大興,318年三月－321年,4年,或作太興。
永昌,322年－323年二月,2年,永昌元年（322年）閏十月晉明帝即位沿用。
晉明帝司馬紹（在位：322年－325年）,晉明帝司馬紹（在位：322年－325年）,晉明帝司馬紹（在位：322年－325年）,晉明帝司馬紹（在位：322年－325年）
太寧,323年三月－326年正月,4年,太寧三年（325年）閏八月晉成帝即位沿用。
晉成帝司馬衍（在位：325年－342年）,晉成帝司馬衍（在位：325年－342年）,晉成帝司馬衍（在位：325年－342年）,晉成帝司馬衍（在位：325年－342年）
咸和,326年二月－334年,9年,
咸康,335年－342年,8年,咸康八年（342年）六月晉康帝即位沿用。
晉康帝司馬岳（在位：342年－344年）,晉康帝司馬岳（在位：342年－344年）,晉康帝司馬岳（在位：342年－344年）,晉康帝司馬岳（在位：342年－344年）
建元,343年－344年,2年,建元二年（344年）九月晉穆帝即位沿用。
晉穆帝司馬聃（在位：344年－361年）,晉穆帝司馬聃（在位：344年－361年）,晉穆帝司馬聃（在位：344年－361年）,晉穆帝司馬聃（在位：344年－361年）
永和,345年－356年,12年,
升平,357年－361年,5年,"升平五年（361年）五月晉哀帝即位沿用。
前涼沿用該年號。"
晉哀帝司馬丕（在位：361年－365年）,晉哀帝司馬丕（在位：361年－365年）,晉哀帝司馬丕（在位：361年－365年）,晉哀帝司馬丕（在位：361年－365年）
隆和,362年正月－363年二月,2年,或作崇和。
興寧,363年二月－365年,3年,興寧三年（365年）二月晉廢帝即位沿用。
晉廢帝司馬奕（在位：365年－371年）,晉廢帝司馬奕（在位：365年－371年）,晉廢帝司馬奕（在位：365年－371年）,晉廢帝司馬奕（在位：365年－371年）
太和,366年－371年十一月,6年,
晉簡文帝司馬昱（在位：371年－372年）,晉簡文帝司馬昱（在位：371年－372年）,晉簡文帝司馬昱（在位：371年－372年）,晉簡文帝司馬昱（在位：371年－372年）
咸安,371年十一月－372年,2年,"咸安二年（372年）七月晉孝武帝即位沿用。
前涼沿用該年號。"
晉孝武帝司馬曜（在位：372年－396年）,晉孝武帝司馬曜（在位：372年－396年）,晉孝武帝司馬曜（在位：372年－396年）,晉孝武帝司馬曜（在位：372年－396年）
寧康,373年－375年,3年,《魏書》錯寫作康寧。
太元,376年－396年,21年,太元二十一年（396年）九月晉安帝即位沿用。
晉安帝司馬德宗（在位：397年－418年）,晉安帝司馬德宗（在位：397年－418年）,晉安帝司馬德宗（在位：397年－418年）,晉安帝司馬德宗（在位：397年－418年）
隆安,397年－401年,5年,王應麟《玉海》作崇安。
元興,402年－404年,3年,胡三省注《資治通鑑》：元年三月，元顯敗，復隆安年號。桓玄尋改曰大亨。玄篡，又改曰永始。
大亨,402年三月－十二月,1年,《小爨碑》署年「大亨四年」（405年），當時的寧州地處邊遠，不知東晉年號更迭，故仍用大亨年號。
義熙,405年正月－418年,14年,"403年－404年桓玄篡位。
楊盛仍行晉義熙年號。"
晉恭帝司馬德文（在位：419年－420年）,晉恭帝司馬德文（在位：419年－420年）,晉恭帝司馬德文（在位：419年－420年）,晉恭帝司馬德文（在位：419年－420年）
元熙,419年－420年六月,2年,
