年號,起訖時間,使用年數,備註
西平明公張寔（在位：314年－320年）,西平明公張寔（在位：314年－320年）,西平明公張寔（在位：314年－320年）,西平明公張寔（在位：314年－320年）
建興,317年－320年五月,4年,"用西晉建興年號（五年－八年）。
一作永安。"
西平成公張茂（在位：320年－324年）,西平成公張茂（在位：320年－324年）,西平成公張茂（在位：320年－324年）,西平成公張茂（在位：320年－324年）
建興,320年六月－324年四月,5年,"用西晉建興年號（八年－十二年）。
一作永元。"
西平文公張駿（在位：324年－346年）,西平文公張駿（在位：324年－346年）,西平文公張駿（在位：324年－346年）,西平文公張駿（在位：324年－346年）
建興,324年五月－346年四月,23年,"用西晉建興年號（十二年－三十四年）。
一作太元。"
西平桓公張重華（在位：346年－353年）,西平桓公張重華（在位：346年－353年）,西平桓公張重華（在位：346年－353年）,西平桓公張重華（在位：346年－353年）
建興,346年五月－353年,8年,"用西晉建興年號（三十四年－四十一年）。
一作永樂。"
涼威王張祚（在位：353年－355年）,涼威王張祚（在位：353年－355年）,涼威王張祚（在位：353年－355年）,涼威王張祚（在位：353年－355年）
和平,354年－355年九月,2年,
西平沖公張玄靚（在位：355年－363年）,西平沖公張玄靚（在位：355年－363年）,西平沖公張玄靚（在位：355年－363年）,西平沖公張玄靚（在位：355年－363年）
建興,355年閏九月－361年十一月,6年,用西晉建興年號（四十三年－四十九年）。
升平,361年十二月－363年七月,3年,"用東晉升平年號（五年－七年）。
一作太始。"
西平悼公張天錫（在位：363年－376年）,西平悼公張天錫（在位：363年－376年）,西平悼公張天錫（在位：363年－376年）,西平悼公張天錫（在位：363年－376年）
升平,363年八月－371年,9年,"用東晉升平年號（七年－十五年）。
一作太清。"
咸安,372年－376年八月,5年,"用東晉咸安年號（二年－六年）。
侯燦據敦煌佛爺廟古墓出土一件陶缽，上有文字云「咸安五年十月癸酉朔」字樣，認為張天錫曾奉行過東晉簡文帝的年號，自二年起，六年八月為止。"
