年號,起訖時間,使用年數,備註
秦景明帝苻健（在位：351年－355年）,秦景明帝苻健（在位：351年－355年）,秦景明帝苻健（在位：351年－355年）,秦景明帝苻健（在位：351年－355年）
皇始,351年－355年五月,5年,
秦厲王苻生（在位：355年－357年）,秦厲王苻生（在位：355年－357年）,秦厲王苻生（在位：355年－357年）,秦厲王苻生（在位：355年－357年）
壽光,355年六月－357年五月,3年,
秦宣昭帝苻堅（在位：357年－385年）,秦宣昭帝苻堅（在位：357年－385年）,秦宣昭帝苻堅（在位：357年－385年）,秦宣昭帝苻堅（在位：357年－385年）
永興,357年六月－359年五月,3年,
甘露,359年六月－364年,6年,
建元,365年－385年七月,21年,呂光仍行前秦建元年號。
秦哀平帝苻丕（在位：385年－386年）,秦哀平帝苻丕（在位：385年－386年）,秦哀平帝苻丕（在位：385年－386年）,秦哀平帝苻丕（在位：385年－386年）
太安,385年八月－386年十月,2年,
秦高帝苻登（在位：386年－394年）,秦高帝苻登（在位：386年－394年）,秦高帝苻登（在位：386年－394年）,秦高帝苻登（在位：386年－394年）
太初,386年十一月－394年六月,9年,
秦後主苻崇（在位：394年）,秦後主苻崇（在位：394年）,秦後主苻崇（在位：394年）,秦後主苻崇（在位：394年）
延初,394年七月－十月,1年,
