年號,起訖時間,使用年數,備註
闞伯周（在位：460年－約477年）,闞伯周（在位：460年－約477年）,闞伯周（在位：460年－約477年）,闞伯周（在位：460年－約477年）
永康,466年－約477年,12年,用柔然永康年號（元年至十二年）。
闞義成（在位：約477年－478年）,闞義成（在位：約477年－478年）,闞義成（在位：約477年－478年）,闞義成（在位：約477年－478年）
永康,477年－約478年,2年,用柔然永康年號（十二年至十三年）。
闞首歸（在位：478年－488年）,闞首歸（在位：478年－488年）,闞首歸（在位：478年－488年）,闞首歸（在位：478年－488年）
永康,478年－485年,12年,用柔然永康年號（十三年至二十年）。
太平,485年－488年,4年,用柔然太平年號（元年至四年）。
張孟明（在位：489年－496年）,張孟明（在位：489年－496年）,張孟明（在位：489年－496年）,張孟明（在位：489年－496年）
建初,489年－496年,8年,吳震認為在闞首歸末年。
馬儒（在位：497年－501年）,馬儒（在位：497年－501年）,馬儒（在位：497年－501年）,馬儒（在位：497年－501年）
？？,497年－501年,5年,王素考訂馬儒曾使用年號紀年，名稱不明。
麴嘉（在位：501年－525年）,麴嘉（在位：501年－525年）,麴嘉（在位：501年－525年）,麴嘉（在位：501年－525年）
承平,502年－509年,8年,
義熙,510年－525年,16年,
麴光（在位：525年－530年）,麴光（在位：525年－530年）,麴光（在位：525年－530年）,麴光（在位：525年－530年）
甘露,526年－530年,5年,
麴堅（在位：530年－548年）,麴堅（在位：530年－548年）,麴堅（在位：530年－548年）,麴堅（在位：530年－548年）
章和,531年－548年,18年,
麴玄喜（在位：547年－550年）,麴玄喜（在位：547年－550年）,麴玄喜（在位：547年－550年）,麴玄喜（在位：547年－550年）
永平,549年－550年,2年,該年號諸史皆無，有黃文弼根據《田元初墓表》補正。
麴□（在位：550年－555年）,麴□（在位：550年－555年）,麴□（在位：550年－555年）,麴□（在位：550年－555年）
和平,551年－554年,4年,該年號諸史皆無，黃文弼根據《汜紹和及妻張氏墓表》及《孟宣宗墓表》補正。
麴寶茂（在位：555年－560年）,麴寶茂（在位：555年－560年）,麴寶茂（在位：555年－560年）,麴寶茂（在位：555年－560年）
建昌,555年－560年,6年,
麴乾固（在位：560年－601年）,麴乾固（在位：560年－601年）,麴乾固（在位：560年－601年）,麴乾固（在位：560年－601年）
延昌,561年－601年,41年,
麴伯雅（在位：601年－623年）,麴伯雅（在位：601年－623年）,麴伯雅（在位：601年－623年）,麴伯雅（在位：601年－623年）
延和,602年－613年,12年,麴伯雅嗣位時間諸史皆無，黃文弼根據《延和二年癸亥唐元護妻令狐氏墓表》推算。
義和,614年－619年,6年,"該年號諸史皆無。黃文弼根據一些墓表和吐魯番出土文書補正。
該年號一說是政變者的年號，一說是麴伯雅的年號。"
重光,620年－623年,4年,重光四年（623年）九月麴文泰即位沿用。也有部分高昌年表認為是麴文泰的年號。
麴文泰（在位：623年－640年）,麴文泰（在位：623年－640年）,麴文泰（在位：623年－640年）,麴文泰（在位：623年－640年）
延壽,624年－640年八月,17年,延壽十七年（640年）八月麴智盛即位沿用，同月高昌滅亡。
