年號,起訖時間,使用年數,備註
好太王高安（在位：391年－412年）,好太王高安（在位：391年－412年）,好太王高安（在位：391年－412年）,好太王高安（在位：391年－412年）
永樂,391年－412年,22年,據《好太王碑》文「二九登祚」「永樂五年，歲在乙未」「六年丙申」「廿年庚戌」「卅有九晏駕棄國」，即391年改元，行用至412年。
長壽王高璉（在位：412年－491年）,長壽王高璉（在位：412年－491年）,長壽王高璉（在位：412年－491年）,長壽王高璉（在位：412年－491年）
延壽,451年－？,？,見《瑞鳳塚出土銀盒》銘文「□壽元年太歳在辛」「延壽元年太歳在卯」，當在451年改元，行用至少1年。
建興,472年－？,？,據《建興五年銘金銅釋迦三尊佛光背》銘文「建興五年歲在丙辰」及《中原拓境碑》文「高麗建興四年」考証，當在472年改元，行用至少5年。
安原王高延（在位：531年－548年）,安原王高延（在位：531年－548年）,安原王高延（在位：531年－548年）,安原王高延（在位：531年－548年）
延嘉,533年－？,？,見《金銅延嘉七年銘如來立像》銘文「延嘉七年歲在己未」，當在533年改元，行用至少7年。
太和,544年－？,？,見《新浦市寺谷金銅板》「□和三年歲次丙寅」（缺字毀損難辨，疑是「太」字），當在544年改元，行用至少3年。
平原王高陽（在位：559年－590年）,平原王高陽（在位：559年－590年）,平原王高陽（在位：559年－590年）,平原王高陽（在位：559年－590年）
景□,568年－？,？,見《金銅辛卯銘三尊佛立像》銘文「景四年在辛卯」，當在568年改元，行用至少4年。
