年號,起訖時間,使用年數,備註
漢光文帝劉淵（在位：304年－310年）,漢光文帝劉淵（在位：304年－310年）,漢光文帝劉淵（在位：304年－310年）,漢光文帝劉淵（在位：304年－310年）
元熙,304年十月－308年九月,5年,
永鳳,308年十月－309年四月,2年,
河瑞,309年五月－310年六月,2年,
漢昭武帝劉聰（在位：310年－318年）,漢昭武帝劉聰（在位：310年－318年）,漢昭武帝劉聰（在位：310年－318年）,漢昭武帝劉聰（在位：310年－318年）
光興,310年七月－311年五月,2年,
嘉平,311年六月－315年二月,5年,
建元,315年三月－316年十月,2年,
麟嘉,316年十一月－318年六月,3年,
漢隱帝劉粲（在位：318年）,漢隱帝劉粲（在位：318年）,漢隱帝劉粲（在位：318年）,漢隱帝劉粲（在位：318年）
漢昌,318年七月－九月,3個月,
趙秦王劉曜（在位：318年－328年）,趙秦王劉曜（在位：318年－328年）,趙秦王劉曜（在位：318年－328年）,趙秦王劉曜（在位：318年－328年）
光初,318年十月－329年八月,12年,或作佐初。
太和,？,？,見於《魏書》，鍾淵映《歷代建元考》認為是石勒的太和年號之誤。
