年號,起訖時間,使用年數,備註
金太祖完顏旻（在位：1115年－1123年）,金太祖完顏旻（在位：1115年－1123年）,金太祖完顏旻（在位：1115年－1123年）,金太祖完顏旻（在位：1115年－1123年）
收國,1115年－1116年,2年,
天輔,1117年－1123年九月,7年,
金太宗完顏晟（在位：1123年－ 1135年）,金太宗完顏晟（在位：1123年－ 1135年）,金太宗完顏晟（在位：1123年－ 1135年）,金太宗完顏晟（在位：1123年－ 1135年）
天會,1123年九月－1137年,15年,天會十三年（1135年）正月金熙宗即位沿用。
金熙宗完顏亶（在位：1135年－1149年）,金熙宗完顏亶（在位：1135年－1149年）,金熙宗完顏亶（在位：1135年－1149年）,金熙宗完顏亶（在位：1135年－1149年）
天眷,1138年－1140年,3年,
皇統,1141年正月－1149年十二月,9年,
金海陵王完顏亮（在位：1150年－1161年）,金海陵王完顏亮（在位：1150年－1161年）,金海陵王完顏亮（在位：1150年－1161年）,金海陵王完顏亮（在位：1150年－1161年）
天德,1149年十二月－1153年三月,5年,
貞元,1153年三月－1156年正月,4年,
正隆,1156年二月－1161年十一月,6年,《金史》完顏亮死於十一月廿七日。
金世宗完顏雍（在位：1161年－1189年）,金世宗完顏雍（在位：1161年－1189年）,金世宗完顏雍（在位：1161年－1189年）,金世宗完顏雍（在位：1161年－1189年）
大定,1161年十月－1189年,29年,
興慶,？,？,見於張師顏《南遷錄》，鍾淵映認為是偽書所載不可信。
金章宗完顏璟（在位：1189年－1208年）,金章宗完顏璟（在位：1189年－1208年）,金章宗完顏璟（在位：1189年－1208年）,金章宗完顏璟（在位：1189年－1208年）
明昌,1190年－1196年十一月,7年,
承安,1196年十一月－1200年,5年,
泰和,1201年－1208年,8年,泰和八年（1208年）十一月衛紹王即位沿用。
天定,？,？,見於《南遷錄》，鍾淵映認為是偽書所載不可信。
金衛紹王完顏永濟（在位：1208年－1213年）,金衛紹王完顏永濟（在位：1208年－1213年）,金衛紹王完顏永濟（在位：1208年－1213年）,金衛紹王完顏永濟（在位：1208年－1213年）
大安,1209年正月－1211年,3年,
崇慶,1212年－1213年四月,2年,
至寧,1213年五月－九月,5個月,
金宣宗完顏珣（在位：1213年－1224年）,金宣宗完顏珣（在位：1213年－1224年）,金宣宗完顏珣（在位：1213年－1224年）,金宣宗完顏珣（在位：1213年－1224年）
貞祐,1213年九月－1217年九月,5年,
興定,1217年九月－1222年八月,6年,
元光,1222年八月－1223年,2年,
金哀宗完顏守緒（在位：1224年－1234年）,金哀宗完顏守緒（在位：1224年－1234年）,金哀宗完顏守緒（在位：1224年－1234年）,金哀宗完顏守緒（在位：1224年－1234年）
正大,1224年－1231年,8年,
開興,1232年正月－四月,4個月,
天興,1232年四月－1234年正月,3年,
金末帝完顏承麟（在位：1234年）,金末帝完顏承麟（在位：1234年）,金末帝完顏承麟（在位：1234年）,金末帝完顏承麟（在位：1234年）
盛昌,？,？,見於《紀元編》，以此作金末帝年號。
