年號,起訖時間,使用年數,備註
楚武信王高季興（在位：924年－929年）,楚武信王高季興（在位：924年－929年）,楚武信王高季興（在位：924年－929年）,楚武信王高季興（在位：924年－929年）
同光,924年三月－926年四月,3年,用後唐同光年號（二年－四年）。
天成,926年四月－928年六月,3年,用後唐天成年號（元年－三年）。
乾貞,928年六月－十二月,7個月,用南吳乾貞年號（二年）。
南平文獻王高從誨（在位：928年－948年）,南平文獻王高從誨（在位：928年－948年）,南平文獻王高從誨（在位：928年－948年）,南平文獻王高從誨（在位：928年－948年）
乾貞,929年正月－六月,6個月,用南吳乾貞年號（三年）。
天成,929年七月－930年正月,2年,用後唐天成年號（四年－五年）。
長興,930年二月－933年,4年,用後唐長興年號（元年－四年）。
應順,934年正月－四月,4個月,用後唐應順年號（元年）。
清泰,934年四月－936年十一月,3年,用後唐清泰年號（元年－三年）。
天福,936年十一月－944年六月,9年,用後晉天福年號（元年－九年）。
開運,944年七月－946年,3年,用後晉開運年號（元年－三年）。
天福,947年,1年,用後晉天福年號（十二年）。
乾祐,948年正月－十月,10個月,用後漢乾祐年號（元年）。
南平貞懿王高保融（在位：948年－960年）,南平貞懿王高保融（在位：948年－960年）,南平貞懿王高保融（在位：948年－960年）,南平貞懿王高保融（在位：948年－960年）
乾祐,948年十一月－950年,3年,用後漢乾祐年號（元年－三年）。
廣順,951年－953年,3年,用後周廣順年號（元年－三年）。
顯德,954年－960年七月,7年,用後周顯德年號（元年－七年）。
高保勗（在位：960年－962年）,高保勗（在位：960年－962年）,高保勗（在位：960年－962年）,高保勗（在位：960年－962年）
建隆,960年八月－962年十月,3年,用北宋建隆年號（元年－三年）。
高繼沖（在位：962年－963年）,高繼沖（在位：962年－963年）,高繼沖（在位：962年－963年）,高繼沖（在位：962年－963年）
建隆,962年十一月－963年五月,2年,用北宋建隆年號（三年－四年）。
