年號,起訖時間,使用年數,備註
涼懿武帝呂光（在位：386年－399年）,涼懿武帝呂光（在位：386年－399年）,涼懿武帝呂光（在位：386年－399年）,涼懿武帝呂光（在位：386年－399年）
太安,386年十月－389年正月,4年,或作大安，《十六國春秋·後涼錄》誤作太平。一說奉前秦苻丕年號。
麟嘉,389年二月－396年六月,8年,
龍飛,396年六月－399年,4年,
承康,？,？,諸史不載。《太平廣記》引《述異記》謂「呂光承康二年……其年光死，子紹代立」。魯迅的《古小説鉤沉》根據《開元占經》引祖沖之《述異記》謂「永康二年」。根據各種書籍記載，呂光死於龍飛四年十二月（399年），同月呂纂即天王位，改元咸寧。由於根據《太平廣記》引《述異記》，承康二年年號出現於呂光逝世當年，即龍飛四年。而各種書籍並無記載龍飛四年有承康二年，因此呂光在位時期應該無「永康二年」。後燕慕容寳、西秦乞伏熾磐均有永康年號，但時間上不合。
涼隱王呂紹（在位：399年）,涼隱王呂紹（在位：399年）,涼隱王呂紹（在位：399年）,涼隱王呂紹（在位：399年）
皇始,？,？,丘文學《歷朝紀元錄》稱呂紹改元皇始，不詳何出。
涼靈帝呂纂（在位：399年－401年）,涼靈帝呂纂（在位：399年－401年）,涼靈帝呂纂（在位：399年－401年）,涼靈帝呂纂（在位：399年－401年）
咸寧,399年十二月－401年正月,3年,
涼後主呂隆（在位：401年－403年）,涼後主呂隆（在位：401年－403年）,涼後主呂隆（在位：401年－403年）,涼後主呂隆（在位：401年－403年）
神鼎,401年二月－403年八月,3年,
