年號,起訖時間,使用年數,備註
燕成武帝慕容垂（在位：384年－396年）,燕成武帝慕容垂（在位：384年－396年）,燕成武帝慕容垂（在位：384年－396年）,燕成武帝慕容垂（在位：384年－396年）
燕元,384年正月－386年二月,3年,《通鑑·晉紀二十七》記載慕容垂仿春秋列國國君紀年，稱元年。
建興,386年二月－396年四月,11年,
燕惠愍帝慕容寶（在位：396年－398年）,燕惠愍帝慕容寶（在位：396年－398年）,燕惠愍帝慕容寶（在位：396年－398年）,燕惠愍帝慕容寶（在位：396年－398年）
永康,396年四月－398年四月,3年,
燕昭武帝慕容盛（在位：398年－401年）,燕昭武帝慕容盛（在位：398年－401年）,燕昭武帝慕容盛（在位：398年－401年）,燕昭武帝慕容盛（在位：398年－401年）
建平,398年十月－398年十二月,1年,
長樂,399年正月－401年七月,3年,
燕昭文帝慕容熙（在位：401年－407年）,燕昭文帝慕容熙（在位：401年－407年）,燕昭文帝慕容熙（在位：401年－407年）,燕昭文帝慕容熙（在位：401年－407年）
光始,401年八月－406年十二月,6年,
建始,407年正月－七月,1年,
