年號,起訖時間,使用年數,備註
趙明帝石勒（在位：319年－333年）,趙明帝石勒（在位：319年－333年）,趙明帝石勒（在位：319年－333年）,趙明帝石勒（在位：319年－333年）
太和,328年二月－330年八月,3年,
建平,330年九月－333年,4年,建平四年（333年）七月石弘即位沿用。
趙海陽王石弘（在位：333年－334年）,趙海陽王石弘（在位：333年－334年）,趙海陽王石弘（在位：333年－334年）,趙海陽王石弘（在位：333年－334年）
延熙,334年,1年,延熙元年（334年）十一月石虎即位沿用。
趙武帝石虎（在位：334年－349年）,趙武帝石虎（在位：334年－349年）,趙武帝石虎（在位：334年－349年）,趙武帝石虎（在位：334年－349年）
建武,335年－348年,14年,
太寧,349年,1年,"或作泰寧。
太寧元年（349年）四月石世即位沿用；五月石遵即位沿用，十一月石鑒即位沿用。"
永熙,？,？,《資治通鑑考異》：「《三十國春秋》『虎即位，改元永熙』；《大統曆》云『石虎即位，改建平五年為延興，明年改建武。』」而《三十國春秋》並沒有記載石弘改元延熙，故《通鑑考異》認為「誤云」。「弘既號延熙，虎安肯稱永熙？」
延興,？,？,《通鑑考異》：「陳鴻云虎改建平五年為延興，即是弘逾年不改元，恐鴻說誤。」
趙義陽王石鑒（在位：349年－350年）,趙義陽王石鑒（在位：349年－350年）,趙義陽王石鑒（在位：349年－350年）,趙義陽王石鑒（在位：349年－350年）
青龍,350年正月－閏二月,1年,
趙新興王石祗（在位：350年－351年）,趙新興王石祗（在位：350年－351年）,趙新興王石祗（在位：350年－351年）,趙新興王石祗（在位：350年－351年）
永寧,350年三月－351年四月,2年,
