年號,起訖時間,使用年數,備註
遼太祖耶律億（在位：907年－926年）,遼太祖耶律億（在位：907年－926年）,遼太祖耶律億（在位：907年－926年）,遼太祖耶律億（在位：907年－926年）
天祐,907年－916年二月,10年,用唐朝天祐年號（四年－十三年）。
神冊,916年二月－922年二月,7年,
天贊,922年二月－926年二月,5年,
天顯,926年二月－938年十一月,13年,天顯元年（926年）七月遼太祖逝世，述律皇后攝政。至天顯二年（927年）十一月遼太宗即位沿用。
遼太宗耶律德光（在位：927年－947年）,遼太宗耶律德光（在位：927年－947年）,遼太宗耶律德光（在位：927年－947年）,遼太宗耶律德光（在位：927年－947年）
會同,938年十一月－947年正月,10年,吳越用此年號。
大同,947年二月－九月,1年,大同元年（947年）四月遼世宗即位沿用。
遼世宗耶律阮（在位：947年－951年）,遼世宗耶律阮（在位：947年－951年）,遼世宗耶律阮（在位：947年－951年）,遼世宗耶律阮（在位：947年－951年）
天祿,947年九月－951年九月,5年,
遼穆宗耶律璟（在位：951年－969年）,遼穆宗耶律璟（在位：951年－969年）,遼穆宗耶律璟（在位：951年－969年）,遼穆宗耶律璟（在位：951年－969年）
應曆,951年九月－969年二月,19年,
遼景宗耶律賢（在位：969年－982年）,遼景宗耶律賢（在位：969年－982年）,遼景宗耶律賢（在位：969年－982年）,遼景宗耶律賢（在位：969年－982年）
保寧,969年二月－979年十一月,11年,
乾亨,979年十一月－983年六月,5年,乾亨四年（982年）九月遼聖宗即位沿用。
遼聖宗耶律隆緒（在位：982年－1031年）,遼聖宗耶律隆緒（在位：982年－1031年）,遼聖宗耶律隆緒（在位：982年－1031年）,遼聖宗耶律隆緒（在位：982年－1031年）
統和,983年六月－1012年閏十月,30年,
開泰,1012年十一月－1021年十一月,10年,
太平,1021年十一月－1031年六月,11年,
遼興宗耶律宗真（在位：1031年－1055年）,遼興宗耶律宗真（在位：1031年－1055年）,遼興宗耶律宗真（在位：1031年－1055年）,遼興宗耶律宗真（在位：1031年－1055年）
景福,1031年六月－1032年十一月,2年,
重熙,1032年十一月－1055年八月,24年,或作重和、崇熙。
遼道宗耶律洪基（在位：1055年－1101年）,遼道宗耶律洪基（在位：1055年－1101年）,遼道宗耶律洪基（在位：1055年－1101年）,遼道宗耶律洪基（在位：1055年－1101年）
清寧,1055年八月－1064年,10年,
咸雍,1065年－1074年,10年,陳大任《遼史》作咸和，馬端臨《文獻通考》作咸熙。
大康,1075年－1084年,10年,或作太康。
大安,1085年－1094年,10年,
壽昌,1095年－1101年正月,7年,或作壽隆、盛昌。
遼天祚帝耶律延禧（在位：1101年－1125年）,遼天祚帝耶律延禧（在位：1101年－1125年）,遼天祚帝耶律延禧（在位：1101年－1125年）,遼天祚帝耶律延禧（在位：1101年－1125年）
乾統,1101年二月－1110年,10年,或作乾通。
天慶,1111年－1120年,10年,《內興寺石幢記》有「天定二年」字樣，有學者認為是「天慶」之誤。
保大,1121年－1125年二月,5年,
