年號,起訖時間,使用年數,備註
宋武帝劉裕（在位：420年－422年）,宋武帝劉裕（在位：420年－422年）,宋武帝劉裕（在位：420年－422年）,宋武帝劉裕（在位：420年－422年）
永初,420年六月－422年,3年,永初三年（422年）五月宋少帝即位沿用。
宋少帝劉義符（在位：422年－424年）,宋少帝劉義符（在位：422年－424年）,宋少帝劉義符（在位：422年－424年）,宋少帝劉義符（在位：422年－424年）
景平,423年－424年八月,2年,
宋文帝劉義隆（在位：424年－453年）,宋文帝劉義隆（在位：424年－453年）,宋文帝劉義隆（在位：424年－453年）,宋文帝劉義隆（在位：424年－453年）
元嘉,424年八月－453年,30年,元嘉三十年（453年）四月宋孝武帝即位沿用。
宋孝武帝劉駿（在位：453年－464年）,宋孝武帝劉駿（在位：453年－464年）,宋孝武帝劉駿（在位：453年－464年）,宋孝武帝劉駿（在位：453年－464年）
孝建,454年－456年,3年,
大明,457年－464年,8年,大明八年（464年）閏五月宋前廢帝即位沿用。
宋前廢帝劉子業（在位：464年－465年）,宋前廢帝劉子業（在位：464年－465年）,宋前廢帝劉子業（在位：464年－465年）,宋前廢帝劉子業（在位：464年－465年）
永光,465年正月－八月,1年,
景和,465年八月－十一月,1年,
宋明帝劉彧（在位：465年－472年）,宋明帝劉彧（在位：465年－472年）,宋明帝劉彧（在位：465年－472年）,宋明帝劉彧（在位：465年－472年）
泰始,465年十二月－471年,7年,
泰豫,472年,1年,泰豫元年（472年）四月宋後廢帝即位沿用。
宋後廢帝劉昱（在位：472年－477年）,宋後廢帝劉昱（在位：472年－477年）,宋後廢帝劉昱（在位：472年－477年）,宋後廢帝劉昱（在位：472年－477年）
元徽,473年－477年七月,5年,
宋順帝劉準（在位：477年－479年）,宋順帝劉準（在位：477年－479年）,宋順帝劉準（在位：477年－479年）,宋順帝劉準（在位：477年－479年）
昇明,477年七月－479年四月,3年,
