年號,起訖時間,使用年數,備註
楚武穆王馬殷（在位：907年－930年）,楚武穆王馬殷（在位：907年－930年）,楚武穆王馬殷（在位：907年－930年）,楚武穆王馬殷（在位：907年－930年）
天成,927年六月－930年,4年,用後唐天成年號（二年－四年）。
楚衡陽王馬希聲（在位：930年－932年）,楚衡陽王馬希聲（在位：930年－932年）,楚衡陽王馬希聲（在位：930年－932年）,楚衡陽王馬希聲（在位：930年－932年）
長興,930年十一月－932年六月,3年,用後唐長興年號（元年－三年）。
楚文昭王馬希範（在位：932年－947年）,楚文昭王馬希範（在位：932年－947年）,楚文昭王馬希範（在位：932年－947年）,楚文昭王馬希範（在位：932年－947年）
長興,932年七月－933年,2年,用後唐長興年號（三年－四年）。
應順,934年正月－四月,4個月,用後唐應順年號（元年）。
清泰,934年四月－936年閏十一月,3年,用後唐清泰年號（元年－三年）。
天福,936年十一月－944年六月,9年,用後晉天福年號（元年－九年）。
開運,944年七月－946年,3年,用後晉開運年號（元年－三年）。
楚廢王馬希廣（在位：947年－950年）,楚廢王馬希廣（在位：947年－950年）,楚廢王馬希廣（在位：947年－950年）,楚廢王馬希廣（在位：947年－950年）
天福,947年四月,1個月,用後晉天福年號（十二年）。
乾祐,948年－950年十一月,3年,用後漢乾祐年號（元年－三年）。
楚恭孝王馬希萼（在位：950年－951年）,楚恭孝王馬希萼（在位：950年－951年）,楚恭孝王馬希萼（在位：950年－951年）,楚恭孝王馬希萼（在位：950年－951年）
保大,950年十二月－951年十一月,2年,用南唐保大年號（八年－九年）。
