年號,起訖時間,使用年數,備註
閩太祖王審知（在位：909年－925年）,閩太祖王審知（在位：909年－925年）,閩太祖王審知（在位：909年－925年）,閩太祖王審知（在位：909年－925年）
開平,909年四月－911年四月,3年,用後梁開平年號（三年－五年）。
乾化,911年五月－915年七月,5年,用後梁乾化年號（元年－五年）。
貞明,915年十一月－921年四月,7年,用後梁貞明年號（元年－七年）。
龍德,921年五月－923年三月,3年,用後梁龍德年號（元年－三年）。
同光,923年四月－925年,3年,用後唐同光年號（元年－三年）。
閩嗣王王延翰（在位：925年－926年）,閩嗣王王延翰（在位：925年－926年）,閩嗣王王延翰（在位：925年－926年）,閩嗣王王延翰（在位：925年－926年）
天成,926年,1年,用後唐天成年號（元年）。
閩惠宗王延鈞（在位：926年－935年）,閩惠宗王延鈞（在位：926年－935年）,閩惠宗王延鈞（在位：926年－935年）,閩惠宗王延鈞（在位：926年－935年）
天成,926年十二月－930年二月,5年,用後唐天成年號（元年－五年）。
長興,930年二月－932年,3年,用後唐長興年號（元年－三年）。
龍啟,933年－934年,2年,
永和,935年－936年二月,2年,
閩康宗王繼鵬（在位：935年－939年）,閩康宗王繼鵬（在位：935年－939年）,閩康宗王繼鵬（在位：935年－939年）,閩康宗王繼鵬（在位：935年－939年）
通文,936年三月－939年七月,4年,
閩景宗王延羲（在位：939年－944年）,閩景宗王延羲（在位：939年－944年）,閩景宗王延羲（在位：939年－944年）,閩景宗王延羲（在位：939年－944年）
永隆,939年閏七月－944年三月,6年,
閩天德帝王延政（在位：943年－945年）,閩天德帝王延政（在位：943年－945年）,閩天德帝王延政（在位：943年－945年）,閩天德帝王延政（在位：943年－945年）
天德,943年二月－945年八月,3年,
