年號,起訖時間,使用年數,備註
明太祖朱元璋（在位：1368年－1398年）,明太祖朱元璋（在位：1368年－1398年）,明太祖朱元璋（在位：1368年－1398年）,明太祖朱元璋（在位：1368年－1398年）
洪武,1368年－1398年,31年,洪武三十一年（1398年）閏五月明惠宗即位沿用。
明惠宗朱允炆（在位：1398年－1402年）,明惠宗朱允炆（在位：1398年－1402年）,明惠宗朱允炆（在位：1398年－1402年）,明惠宗朱允炆（在位：1398年－1402年）
建文,1399年－1402年六月,4年,建文四年（1402年）六月明成祖即位廢除建文年號。
明成祖朱棣（在位：1402年－1424年）,明成祖朱棣（在位：1402年－1424年）,明成祖朱棣（在位：1402年－1424年）,明成祖朱棣（在位：1402年－1424年）
洪武,1402年六月－十二月,－,復用明太祖年號（洪武三十五年）。
永樂,1403年－1424年,22年,永樂二十二年（1424年）八月明仁宗即位沿用。
明仁宗朱高熾（在位：1424年－1425年）,明仁宗朱高熾（在位：1424年－1425年）,明仁宗朱高熾（在位：1424年－1425年）,明仁宗朱高熾（在位：1424年－1425年）
洪熙,1425年,1年,洪熙元年（1425年）六月明宣宗即位沿用。
明宣宗朱瞻基（在位：1425年－1435年）,明宣宗朱瞻基（在位：1425年－1435年）,明宣宗朱瞻基（在位：1425年－1435年）,明宣宗朱瞻基（在位：1425年－1435年）
宣德,1426年－1435年,10年,宣德十年（1435年）正月明英宗即位沿用。
明英宗朱祁鎮（在位：1435年－1449年）,明英宗朱祁鎮（在位：1435年－1449年）,明英宗朱祁鎮（在位：1435年－1449年）,明英宗朱祁鎮（在位：1435年－1449年）
正統,1436年－1449年,14年,正統十四年（1449年）九月明代宗即位沿用。
明代宗朱祁鈺（在位：1449年－1457年）,明代宗朱祁鈺（在位：1449年－1457年）,明代宗朱祁鈺（在位：1449年－1457年）,明代宗朱祁鈺（在位：1449年－1457年）
景泰,1450年－1457年正月,8年,景泰八年（1457年）正月明英宗奪門之變後隨即改元。
明英宗朱祁鎮（在位：1457年－1464年）,明英宗朱祁鎮（在位：1457年－1464年）,明英宗朱祁鎮（在位：1457年－1464年）,明英宗朱祁鎮（在位：1457年－1464年）
天順,1457年正月－1464年,8年,天順八年（1464年）正月明憲宗即位沿用。
明憲宗朱見深（在位：1464年－1487年）,明憲宗朱見深（在位：1464年－1487年）,明憲宗朱見深（在位：1464年－1487年）,明憲宗朱見深（在位：1464年－1487年）
成化,1465年－1487年,23年,成化二十三年（1487年）九月明孝宗即位沿用。
明孝宗朱祐樘（在位：1487年－1505年）,明孝宗朱祐樘（在位：1487年－1505年）,明孝宗朱祐樘（在位：1487年－1505年）,明孝宗朱祐樘（在位：1487年－1505年）
弘治,1488年－1505年,18年,弘治十八年（1505年）五月明武宗即位沿用。
明武宗朱厚照（在位：1505年－1521年）,明武宗朱厚照（在位：1505年－1521年）,明武宗朱厚照（在位：1505年－1521年）,明武宗朱厚照（在位：1505年－1521年）
正德,1506年－1521年,16年,正德十六年（1521年）四月明世宗即位沿用。
明世宗朱厚熜（在位：1521年－1566年）,明世宗朱厚熜（在位：1521年－1566年）,明世宗朱厚熜（在位：1521年－1566年）,明世宗朱厚熜（在位：1521年－1566年）
嘉靖,1522年－1566年,45年,嘉靖四十五年（1566年）十二月明穆宗即位沿用。
明穆宗朱載坖（在位：1567年－1572年）,明穆宗朱載坖（在位：1567年－1572年）,明穆宗朱載坖（在位：1567年－1572年）,明穆宗朱載坖（在位：1567年－1572年）
隆慶,1567年－1572年,6年,隆慶六年（1572年）六月明神宗即位沿用。
明神宗朱祤鈞（在位：1572年－1620年）,明神宗朱祤鈞（在位：1572年－1620年）,明神宗朱祤鈞（在位：1572年－1620年）,明神宗朱祤鈞（在位：1572年－1620年）
萬曆,1573年－1620年九月,48年,萬曆四十八年（1620年）八月明光宗即位沿用。
明光宗朱常洛（在位：1620年）,明光宗朱常洛（在位：1620年）,明光宗朱常洛（在位：1620年）,明光宗朱常洛（在位：1620年）
泰昌,1620年九月－十二月,1年,"預定於辛酉年（1621年）改元，但明光宗即位1個月猝死，未及改元。
萬曆四十八年九月明熹宗即位，啟用泰昌年號，從八月開始追述。"
明熹宗朱由校（在位：1620年－1627年）,明熹宗朱由校（在位：1620年－1627年）,明熹宗朱由校（在位：1620年－1627年）,明熹宗朱由校（在位：1620年－1627年）
天啟,1621年－1627年,7年,天啟七年（1627年）八月明思宗即位沿用。
明思宗朱由檢（在位：1627年－1644年）,明思宗朱由檢（在位：1627年－1644年）,明思宗朱由檢（在位：1627年－1644年）,明思宗朱由檢（在位：1627年－1644年）
崇禎,1628年－1644年,17年,崇禎十七年（1644年）三月明思宗自殺殉國，五月明安宗即位沿用。
