年號,起訖時間,君主,使用時間,備註
天定,1386年四月或五月,彭玉琳,1個月,
龍鳳,1397年正月－九月,田九成,9個月,
永寧,1419年－1420年四月,范玉,2年,越南史書均無載，見《明史·安南傳》及《明實錄》。
永天,1420年,黎餓,1年,見《大越史記全書》，越南有「永天通寶」銅錢傳世。
湧安,1430年正月,明本,1個月,
泰定,1448年－1449年六月,陳鑑胡,2年,
東陽,1449年九月－1450年五月,黃蕭養,2年,
玄武,1451年八月,朱徽煠,1個月,又作玄元或𢆯武。
添元,1453年－1454年,也先,2年,李崇智推測該年號可能是來自音譯，為求迴避故而譯作「添元」。
天順,1456年六月,李珍,1個月,
天繡,1457年正月,王斌,1個月,
武烈,1460年,李添保,1年,
？？,1462年,李真、宋普貴,1年,《明實錄》記載建立年號，名稱不明。
德勝,1465年－1466年閏三月,劉通,2年,
明正,？,曹甫,？,起訖時間不明，約在正德年間。
順德,1519年六月－七月,朱宸濠,2個月,
大順平定,？,段鋹,？,或作平定，約在正德年間。
大中天武,1525年八月－九月,樊紳,2個月,見楊一清《關中奏議》。
天淵,1546年,田斌,1年,約在嘉靖年間。
造曆,？,張璉,？,李崇智認為這是指改年號，造曆法，不是年號。
龍飛,？,張璉,？,李崇智認為「龍飛」為印文「飛龍」之誤，不是年號。
圓明大寶,？,馬相,？,嘉靖年間有保定白蓮教徒馬相，無年號記載。
大寶,1565年十二月－1566年正月,蔡伯貫,36日,
弘閏,1582年,僧省悟,1年,見瞿九思《萬曆武功錄》，《紀元韻敘》作宏閏。
弘武,1619年四月,李新,1個月,見《明實錄》，《明通鑑》作洪武。
天真混,1619年十二月,李文,1個月,見《明實錄》，查繼佐《罪惟錄》作真混。
瑞應,1621年九月－1629年八月,奢崇明,9年,《崇禎長編》作應順。
中元,1621年十二月,劉應選,1個月,見朱燮元《督蜀疏草》。
大成興勝,1622年五月－十月,徐鴻儒,6個月,又作大乘興勝、大成興盛、興勝、大乘興盛。
一統,預定1622年十一月啟用,鄭振明,無,見於《明熹宗七年都察院實錄》。
玄靜,1622年,万俟德,1年,清朝避諱作元靜或𢆯靜。
懿德,1624年九月,楊桓、楊從儒,1個月,見《阜陽縣志》。
寬和,1625年三月,不可考,1個月,巡撫浙江王洽奏報浙江外洋劫賊所使用的年號。
永興,1628年,張惟元,1年,
靈寶,1629年十一月,李盛明,1個月,見《阜陽縣志》。
興武,1635年－1636年七月,高迎祥,2年,
天運,1637年,張普薇,1年,
永昌,1644年－1645年五月,李自成,2年,
義興,？,朱慈烺,？,民間聲稱甲申年（1644年）四月朱慈烺繼位後使用的年號。
乾定,？,朱慈炯,？,民間聲稱甲申之變北京立定王朱慈炯為帝，紀元乾定。
天令,？,張獻忠,？,見無名氏《鵑客隨筆》。
義武,？,張獻忠,？,或是高迎祥年號「興武」之誤。
大順,1644年十一月－1646年十一月,張獻忠,3年,
