年號,起訖時間,君主,使用時間,備註
共戴,"1911年12月－1915年6月
1921年2月－1924年11月",八世哲布尊丹巴呼圖克圖,9年,博克多格根稱帝，建立大蒙古國時使用。
洪憲,1916年1月－3月,袁世凱,82日,民國4年（1915年）12月12日中華民國大總統袁世凱稱帝，國號為「中華帝國」，隔年建元「洪憲」；民國5年（1916年）3月22日取消稱帝，恢復民國。
宣統,1916年2月－1917年5月,呂光,2年,民國5年（1916年）2月在青海保安起事，用清朝宣統年號（八年－九年）。
通治,1917年4月－8月,察都·若巴,5個月,榮孟源《中國歷史紀年》作通志。
宣統,1917年,溥儀,12日,民國6年（1917年）7月1日張勳復辟，宣布改民國六年為宣統九年，同月12日取消復辟。
和興,1921年,聶真娃,1年,民國10年（1921年）初在湖北咸豐稱帝，國號大齊。
天佑,1926年－1928年,韓欲明,3年,一作靈寶、天祐。民國15年（1926年）2月27日在河南林縣稱帝，建元天佑。
熙順,1929年2月－8月,馬士偉,7個月,一作天運。民國18年（1929年）2月2日在山東長山稱帝，國號「新明國」，8月7日被山東省主席陳調元剿滅。
大同,1929年4月,薛幹臣,10餘日,民國18年（1929年）4月12日蘇北宿遷三縣小刀會共同使用的年號。
大同,1932年3月－1934年2月,溥儀,3年,日本扶持溥儀擔任滿洲國執政時使用。
康德,1934年3月－1945年8月,溥儀,12年,溥儀擔任滿洲帝國皇帝時使用，日本戰敗後滿州國終止。
