年號,起訖時間,使用年數,備註
閣羅鳳（在位：748年－779年）,閣羅鳳（在位：748年－779年）,閣羅鳳（在位：748年－779年）,閣羅鳳（在位：748年－779年）
贊普鍾,752年－768年,17年,李京《雲南志略》作建鍾。
長壽,769年－779年,11年,
鍾元,？,？,見鄭雲芝《歷代年號表》，在見龍年號之前。
異牟尋（在位：779年－808年）,異牟尋（在位：779年－808年）,異牟尋（在位：779年－808年）,異牟尋（在位：779年－808年）
見龍,780年－783年,4年,
上元,784年－808年,25年,王崧《雲南備徵志》「按一作改元元封」。
元封,？,？,雲南昆明圓通寺寺後山石壁大壽字右旁落有「元封元年春正月，奉旨書於崇嵩之石壁」，有學者認為該石刻文字從未聞官方文物部門正式鑑定，不可令人信服，異牟尋從未改元元封。
尋閣勸（在位：808年－809年）,尋閣勸（在位：808年－809年）,尋閣勸（在位：808年－809年）,尋閣勸（在位：808年－809年）
應道,809年,1年,
勸龍晟（在位：809年－816年）,勸龍晟（在位：809年－816年）,勸龍晟（在位：809年－816年）,勸龍晟（在位：809年－816年）
龍興,810年－816年,7年,
勸利晟（在位：816年－823年）,勸利晟（在位：816年－823年）,勸利晟（在位：816年－823年）,勸利晟（在位：816年－823年）
全義,816年二月－819年,4年,《通鑑》記載在二月即位。
大豐,820年－823年,4年,
勸豐祐（在位：823年－859年）,勸豐祐（在位：823年－859年）,勸豐祐（在位：823年－859年）,勸豐祐（在位：823年－859年）
保和,824年－839年,16年,或作保合。
天啟,840年－859年,20年,
世隆（在位：859年－877年）,世隆（在位：859年－877年）,世隆（在位：859年－877年）,世隆（在位：859年－877年）
建極,860年－877年,18年,或作建樞。
法堯,？,？,非年號，是世隆之子隆舜的別名。
隆舜（在位：877年－897年）,隆舜（在位：877年－897年）,隆舜（在位：877年－897年）,隆舜（在位：877年－897年）
貞明承智大同,877年－888年,12年,"倪輅及胡蔚《南詔野史》分別作真明和貞明。
有學者認為南詔、大理無六字年號之例，視為三個年號：貞明、承智、大同。"
嵯耶,889年－897年,9年,
舜化貞（在位：897年－902年）,舜化貞（在位：897年－902年）,舜化貞（在位：897年－902年）,舜化貞（在位：897年－902年）
中興,897年－902年,6年,
