年號,起訖時間,使用年數,備註
建康公段業（在位：397年－399年）,建康公段業（在位：397年－399年）,建康公段業（在位：397年－399年）,建康公段業（在位：397年－399年）
神璽,397年五月－399年正月,3年,
天璽,399年二月－401年五月,3年,或作六璽。
涼武宣王沮渠蒙遜（在位：401年－433年）,涼武宣王沮渠蒙遜（在位：401年－433年）,涼武宣王沮渠蒙遜（在位：401年－433年）,涼武宣王沮渠蒙遜（在位：401年－433年）
永安,401年六月－412年十月,12年,
玄始,412年十一月－428年,17年,或作元始。
真興,？,？,根據《吐魯番文書》中自北涼玄始十三年起出現相當於十三、十四年的夏國真興六、七年（424年至425年）年號，已經被認爲是沮渠氏北涼在玄始十三年（424年）奉夏正朔的結果。
承玄,428年六月－431年,4年,甘肅出土的造經塔殘石有與史書記載不同的「承玄二年歲在戊辰」字樣
義和,431年六月－433年四月,3年,
承陽,？,？,諸史不載。甘肅酒泉文殊山出土的馬德惠塔有「承陽二年歲在[丙]寅鶉火十月五日」字樣。有學者考訂應為夏承光年號在北涼用「陽」代替「光」之故。
緣禾,？,？,諸史不載。見於出土文物。爭議頗多。
涼哀王沮渠牧犍（在位：433年－439年）,涼哀王沮渠牧犍（在位：433年－439年）,涼哀王沮渠牧犍（在位：433年－439年）,涼哀王沮渠牧犍（在位：433年－439年）
承和,433年四月－437年,5年,或作永和。
太緣,？,？,諸史不載。或謂北魏太延年號改寫。
建平,437年四月後－439年九月,3年,諸史不載。考古發現有建平紀年文書，從五年七月到六年九月，但是沒有干支紀年，有學者考証改元在437年。建平三年（439年）九月北魏攻陷涼都姑臧，沮渠牧犍投降，沮渠無諱繼續使用到七年（443年）。
