年號,起訖時間,使用年數,備註
齊文宣帝高洋（在位：550年－559年）,齊文宣帝高洋（在位：550年－559年）,齊文宣帝高洋（在位：550年－559年）,齊文宣帝高洋（在位：550年－559年）
天保,550年五月－559年,10年,天保十年（559年）十月齊廢帝即位沿用。
齊廢帝高殷（在位：559年－560年）,齊廢帝高殷（在位：559年－560年）,齊廢帝高殷（在位：559年－560年）,齊廢帝高殷（在位：559年－560年）
乾明,560年正月－八月,8個月,
齊孝昭帝高演（在位：560年－561年）,齊孝昭帝高演（在位：560年－561年）,齊孝昭帝高演（在位：560年－561年）,齊孝昭帝高演（在位：560年－561年）
皇建,560年八月－561年十一月,2年,
齊武成帝高湛（在位：561年－565年）,齊武成帝高湛（在位：561年－565年）,齊武成帝高湛（在位：561年－565年）,齊武成帝高湛（在位：561年－565年）
太寧,561年十一月－562年四月,2年,或作大寧、泰寧。
河清,562年四月－565年四月,4年,
齊後主高緯（在位：565年－577年）,齊後主高緯（在位：565年－577年）,齊後主高緯（在位：565年－577年）,齊後主高緯（在位：565年－577年）
天統,565年四月－569年,5年,
武平,570年－576年,7年,
隆化,576年十二月,1年,
齊安德王高延宗（在位：576年）,齊安德王高延宗（在位：576年）,齊安德王高延宗（在位：576年）,齊安德王高延宗（在位：576年）
德昌,576年十二月,1年,
齊幼主高恆（在位：577年）,齊幼主高恆（在位：577年）,齊幼主高恆（在位：577年）,齊幼主高恆（在位：577年）
承光,577年正月－三月,1年,
