年號,起訖時間,使用年數,備註
宋太祖趙匡胤（在位：960年－976年）,宋太祖趙匡胤（在位：960年－976年）,宋太祖趙匡胤（在位：960年－976年）,宋太祖趙匡胤（在位：960年－976年）
建隆,960年正月－963年十一月,4年,南唐、吳越、荊南用此年號。
乾德,963年十一月－968年十一月,6年,南唐、吳越用此年號。
開寶,968年十一月－976年十二月,9年,"開寶九年（976年）十月宋太宗即位沿用。
南唐、吳越用此年號。"
宋太宗趙光義（在位：976年－997年）,宋太宗趙光義（在位：976年－997年）,宋太宗趙光義（在位：976年－997年）,宋太宗趙光義（在位：976年－997年）
太平興國,976年十二月－984年十一月,9年,吳越用此年號。
雍熙,984年十一月－987年,4年,
端拱,988年正月－989年,2年,
淳化,990年－994年,5年,
至道,995年－997年,3年,至道三年（997年）三月宋真宗即位沿用。
宋真宗趙恆（在位：997年－1022年）,宋真宗趙恆（在位：997年－1022年）,宋真宗趙恆（在位：997年－1022年）,宋真宗趙恆（在位：997年－1022年）
咸平,998年－1003年,6年,
景德,1004年－1007年,4年,
大中祥符,1008年正月－1016年,9年,
天禧,1017年－1021年,5年,
乾興,1022年,1年,乾興元年（1022年）二月宋仁宗即位沿用。
宋仁宗趙禎（在位：1022年－1063年）,宋仁宗趙禎（在位：1022年－1063年）,宋仁宗趙禎（在位：1022年－1063年）,宋仁宗趙禎（在位：1022年－1063年）
天聖,1023年－1032年十一月,10年,
明道,1032年十一月－1033年,2年,
景祐,1034年－1038年十一月,5年,
寶元,1038年十一月－1040年二月,3年,
康定,1040年二月－1041年十一月,2年,
慶曆,1041年十一月－1048年,8年,
皇祐,1049年－1054年三月,6年,
至和,1054年四月－1056年九月,3年,
嘉祐,1056年九月－1063年,8年,嘉祐八年（1063年）四月宋英宗即位沿用。
宋英宗趙曙（在位：1063年－1067年）,宋英宗趙曙（在位：1063年－1067年）,宋英宗趙曙（在位：1063年－1067年）,宋英宗趙曙（在位：1063年－1067年）
治平,1064年－1067年,4年,治平四年（1067年）正月宋神宗即位沿用。
宋神宗趙頊（在位：1067年－1085年）,宋神宗趙頊（在位：1067年－1085年）,宋神宗趙頊（在位：1067年－1085年）,宋神宗趙頊（在位：1067年－1085年）
熙寧,1068年－1077年,10年,
元豐,1078年－1085年,8年,元豐八年（1085年）三月宋哲宗即位沿用。
宋哲宗趙煦（在位：1085年－1100年）,宋哲宗趙煦（在位：1085年－1100年）,宋哲宗趙煦（在位：1085年－1100年）,宋哲宗趙煦（在位：1085年－1100年）
元祐,1086年－1094年四月,9年,
紹聖,1094年四月－1098年五月,5年,《昭仁寺碑》宋人張重題字誤作「昭聖」。
元符,1098年六月－1100年,3年,元符三年（1100年）正月宋徽宗即位沿用。
宋徽宗趙佶（在位：1100年－1125年）,宋徽宗趙佶（在位：1100年－1125年）,宋徽宗趙佶（在位：1100年－1125年）,宋徽宗趙佶（在位：1100年－1125年）
建中靖國,1101年,1年,
崇寧,1102年－1106年,5年,
大觀,1107年－1110年,4年,
政和,1111年－1118年十月,8年,
重和,1118年十一月－1119年正月,2年,
宣和,1119年二月－1125年,7年,宣和七年（1125年）十二月宋欽宗即位沿用。
宋欽宗趙桓（在位：1126年－1127年）,宋欽宗趙桓（在位：1126年－1127年）,宋欽宗趙桓（在位：1126年－1127年）,宋欽宗趙桓（在位：1126年－1127年）
靖康,1126年－1127年四月,2年,靖康二年（1127年）正月金人軟禁宋欽宗，二月廢為庶人。
