年號,起訖時間,使用年數,備註
魏道武帝拓跋珪（在位：386年－409年）,魏道武帝拓跋珪（在位：386年－409年）,魏道武帝拓跋珪（在位：386年－409年）,魏道武帝拓跋珪（在位：386年－409年）
登國,386年－396年六月,11年,
皇始,396年七月－398年,3年,
天興,398年十二月－404年十月,7年,
天賜,404年十月－409年十月,6年,
魏明元帝拓跋嗣（在位：409年－423年）,魏明元帝拓跋嗣（在位：409年－423年）,魏明元帝拓跋嗣（在位：409年－423年）,魏明元帝拓跋嗣（在位：409年－423年）
永興,409年閏十月－413年,5年,
神瑞,414年－416年四月,3年,
泰常,416年四月－423年,8年,泰常八年（423年）十一月魏太武帝即位沿用。
魏太武帝拓跋燾（在位：423年－ 452年）,魏太武帝拓跋燾（在位：423年－ 452年）,魏太武帝拓跋燾（在位：423年－ 452年）,魏太武帝拓跋燾（在位：423年－ 452年）
始光,424年－428年正月,5年,
神䴥,428年二月－431年,4年,
延和,432年－435年正月,4年,
太延,435年正月－440年六月,6年,
太平真君,440年六月－451年六月,12年,
正平,451年六月－452年二月,2年,
魏南安王拓跋余（在位：452年）,魏南安王拓跋余（在位：452年）,魏南安王拓跋余（在位：452年）,魏南安王拓跋余（在位：452年）
承平,452年二月－十月,9個月,或誤作永平。
魏文成帝拓跋濬（在位：452年－465年）,魏文成帝拓跋濬（在位：452年－465年）,魏文成帝拓跋濬（在位：452年－465年）,魏文成帝拓跋濬（在位：452年－465年）
興安,452年十月－454年七月,3年,
興光,454年七月－455年六月,2年,
太安,455年六月－459年,5年,
和平,460年－465年,6年,和平六年（465年）五月魏獻文帝即位沿用。
魏獻文帝拓跋弘（在位：465年－471年）,魏獻文帝拓跋弘（在位：465年－471年）,魏獻文帝拓跋弘（在位：465年－471年）,魏獻文帝拓跋弘（在位：465年－471年）
天安,466年－467年八月,2年,
皇興,467年八月－471年八月,5年,
魏孝文帝元宏（在位：471年－499年）,魏孝文帝元宏（在位：471年－499年）,魏孝文帝元宏（在位：471年－499年）,魏孝文帝元宏（在位：471年－499年）
延興,471年八月－476年六月,6年,
承明,476年六月－十二月,7個月,
太和,477年－499年,23年,太和二十三年（499年）四月魏宣武帝即位沿用。
魏宣武帝元恪（在位：499年－515年）,魏宣武帝元恪（在位：499年－515年）,魏宣武帝元恪（在位：499年－515年）,魏宣武帝元恪（在位：499年－515年）
景明,500年正月－504年正月,5年,
正始,504年正月－508年八月,5年,
永平,508年八月－512年四月,5年,
延昌,512年四月－515年,4年,延昌四年（515年）正月魏孝明帝即位沿用。
魏孝明帝元詡（在位：515年－528年）,魏孝明帝元詡（在位：515年－528年）,魏孝明帝元詡（在位：515年－528年）,魏孝明帝元詡（在位：515年－528年）
熙平,516年－518年二月,3年,
神龜,518年二月－520年七月,3年,
正光,520年七月－525年六月,6年,《邸荀生造像》有「武光五年」字樣，有學者認為「武光」即「正光」。
孝昌,525年六月－528年正月,4年,
武泰,528年正月－四月,1年,
魏孝莊帝元子攸（在位：528年－530年）,魏孝莊帝元子攸（在位：528年－530年）,魏孝莊帝元子攸（在位：528年－530年）,魏孝莊帝元子攸（在位：528年－530年）
建義,528年四月－九月,1年,
永安,528年九月－530年十月,3年,
魏長廣王元曄（在位：530年－531年）,魏長廣王元曄（在位：530年－531年）,魏長廣王元曄（在位：530年－531年）,魏長廣王元曄（在位：530年－531年）
建明,530年十月－531年二月,2年,
魏節閔帝元恭（在位：531年）,魏節閔帝元恭（在位：531年）,魏節閔帝元恭（在位：531年）,魏節閔帝元恭（在位：531年）
普泰,531年二月－十月,1年,《歷代建元考》作普嘉。
魏安定王元朗（在位：531年－532年）,魏安定王元朗（在位：531年－532年）,魏安定王元朗（在位：531年－532年）,魏安定王元朗（在位：531年－532年）
中興,531年十月－532年四月,2年,
魏孝武帝元脩（在位：532年－534年）,魏孝武帝元脩（在位：532年－534年）,魏孝武帝元脩（在位：532年－534年）,魏孝武帝元脩（在位：532年－534年）
太昌,532年四月－十二月,1年,
永興,532年十二月,1年,
永熙,532年十二月－534年十二月,3年,
