年號,起訖時間,君主,使用時間,備註
建平,415年三月－416年九月,白亞栗斯、劉虎,2年,
聖君,471年,司馬小君,1年,
正始,？,樊素安,？,見於葉維庚《紀元通考》和李兆洛《紀元編》，不詳何時，或以為是北魏宣武帝元恪的正始年號。
建明,506年正月－七月,呂苟兒、王法智,7個月,
聖明,506年正月－七月,陳瞻,7個月,
建平,508年八月－九月,元愉,2個月,
大乘,515年六月－九月,法慶,3個月,《魏書》、《資治通鑒》謂法慶自號大乘，未有提及建立年號。《玉海》以大乘為法慶的年號。
真王,524年三月－528年二月,破六韓拔陵、杜洛周,5年,真王二年（525年）六月，破六韓拔陵被柔然擊破，下落不明。同年，杜洛周起兵，繼續奉真王年號。
天建,524年六月－527年九月,莫折念生,4年,
天啟,525年正月－三月,元法僧,3個月,葉維庚《紀元通考》注一作大啟。
神嘉,525年十二月－535年三月,劉蠡升,11年,
魯興,526年正月－八月,鮮于脩禮,8個月,《紀元編》「一作普興」。
始建,？,陳雙熾,？,諸書記載「自號始建王」，並沒有說改元。而《玉海》等書則把「始建」作為年號。
廣安,526年九月－528年九月,葛榮,3年,
大通,？,葛榮,？,見於馬紹基《紀元韻覽》。
天授,527年七月,劉獲、鄭辯,1個月,
隆緒,527年十月－528年正月,蕭寶夤,2年,
天統,528年六月－529年四月,邢杲,2年,
神獸,528年七月－530年四月,万俟醜奴,3年,或作神虎、神平。
皇武,？,劉擧,？,《紀元編》「見《韻編》」。
孝基,529年四月－五月,元顥,2個月,
建武,529年五月－閏六月,元顥,3個月,
更興,530年六月－532年,元悅,3年,或作更新。
