年號,起訖時間,使用年數,備註
周明帝宇文毓（在位：557年－560年）,周明帝宇文毓（在位：557年－560年）,周明帝宇文毓（在位：557年－560年）,周明帝宇文毓（在位：557年－560年）
武成,559年八月－560年,2年,武成二年（560年）四月周武帝即位沿用。
武定,？,？,《歷代建元考》稱明帝還有改元武定一事，但不知何據。
周武帝宇文邕（在位：560年－578年）,周武帝宇文邕（在位：560年－578年）,周武帝宇文邕（在位：560年－578年）,周武帝宇文邕（在位：560年－578年）
保定,561年－565年,5年,
天和,566年正月－572年三月,7年,
建德,572年三月－578年三月,7年,
宣政,578年三月－十二月,1年,宣政元年（578年）六月周宣帝即位沿用。
周宣帝宇文贇（在位：578年－579年）,周宣帝宇文贇（在位：578年－579年）,周宣帝宇文贇（在位：578年－579年）,周宣帝宇文贇（在位：578年－579年）
大成,579年正月－二月,1年,
周靜帝宇文闡（在位：579年－581年）,周靜帝宇文闡（在位：579年－581年）,周靜帝宇文闡（在位：579年－581年）,周靜帝宇文闡（在位：579年－581年）
大象,579年二月－580年,2年,
大定,581年正月－二月,2個月,
