年號,起訖時間,使用年數,備註
清太宗皇太極（在位：1626年－1643年）,清太宗皇太極（在位：1626年－1643年）,清太宗皇太極（在位：1626年－1643年）,清太宗皇太極（在位：1626年－1643年）
崇德,1636年四月－1643年,8年,崇德八年（1643年）八月清世祖即位沿用。
清世祖福臨（在位：1643年－1661年）,清世祖福臨（在位：1643年－1661年）,清世祖福臨（在位：1643年－1661年）,清世祖福臨（在位：1643年－1661年）
順治,1644年－1661年,18年,順治十八年（1661年）正月清聖祖即位沿用。
清聖祖玄燁（在位：1661年－1722年）,清聖祖玄燁（在位：1661年－1722年）,清聖祖玄燁（在位：1661年－1722年）,清聖祖玄燁（在位：1661年－1722年）
康熙,1662年－1722年,61年,康熙六十一年（1722年）十一月清世宗即位沿用。
清世宗胤禛（在位：1722年－1735年）,清世宗胤禛（在位：1722年－1735年）,清世宗胤禛（在位：1722年－1735年）,清世宗胤禛（在位：1722年－1735年）
雍正,1723年－1735年,13年,雍正十三年（1735年）九月清高宗即位沿用。
清高宗弘曆（在位：1735年－1796年）,清高宗弘曆（在位：1735年－1796年）,清高宗弘曆（在位：1735年－1796年）,清高宗弘曆（在位：1735年－1796年）
乾隆,1736年－1795年,60年,乾隆帝退位後，紫禁城內部曆書仍用乾隆年號，稱六十一年至六十四年。
清仁宗顒琰（在位：1795年－1820年）,清仁宗顒琰（在位：1795年－1820年）,清仁宗顒琰（在位：1795年－1820年）,清仁宗顒琰（在位：1795年－1820年）
嘉慶,1796年－1820年,25年,嘉慶二十五年（1820年）八月清宣宗即位沿用。
清宣宗旻寧（在位：1820年－1850年）,清宣宗旻寧（在位：1820年－1850年）,清宣宗旻寧（在位：1820年－1850年）,清宣宗旻寧（在位：1820年－1850年）
道光,1821年－1850年,30年,道光三十年（1850年）正月清文宗即位沿用。
清文宗奕詝（在位：1850年－1861年）,清文宗奕詝（在位：1850年－1861年）,清文宗奕詝（在位：1850年－1861年）,清文宗奕詝（在位：1850年－1861年）
咸豐,1851年－1861年,11年,咸豐十一年（1861年）十月清穆宗即位沿用。
清穆宗載淳（在位：1861年－1875年）,清穆宗載淳（在位：1861年－1875年）,清穆宗載淳（在位：1861年－1875年）,清穆宗載淳（在位：1861年－1875年）
祺祥,原定,原定,原定壬戌年（1862年）啟用，辛酉政變以後棄用，改以「同治」取代。
同治,1862年－1874年,13年,
清德宗載湉（在位：1874年－1908年）,清德宗載湉（在位：1874年－1908年）,清德宗載湉（在位：1874年－1908年）,清德宗載湉（在位：1874年－1908年）
光緒,1875年－1908年,34年,光緒三十四年（1908年）十月清宣統帝即位沿用。
清宣統帝溥儀（在位：1909年－1911年）,清宣統帝溥儀（在位：1909年－1911年）,清宣統帝溥儀（在位：1909年－1911年）,清宣統帝溥儀（在位：1909年－1911年）
宣統,1909年－1911年十二月,3年,宣統三年（1911年）十二月二十五日，隆裕太后頒布《宣統帝退位詔書》，溥儀退位，清朝結束。
