年號,起訖時間,君主,使用時間,備註
重興,1644年九月－十二月,秦尚行,4個月,
天定,1644年九月,劉守分,1個月,
永昌,1644年九月－1645年六月,宮文彩,2年,奉李自成永昌年號（元年－二年）。
清光,1645年六月,胡守龍,1個月,
中興,1647年,蔣爾恂,1年,
永曆,1647年六月－七月,王光代,2個月,用南明永曆年號（元年）。
隆武,1647年九月,張華山,1個月,用南明隆武年號（三年）。
永曆,1647年十二月,郭應銓,1個月,用南明永曆年號（元年）。
興朝,？,孫可望,？,李崇智認為是興朝通寶的錢號。
隆武,1648年二月－1649年正月,金聲桓,2年,用南明隆武年號（四年－五年）。
天正,1648年五月－九月,朱鴻基,5個月,山東榆園軍的年號。
永曆,1649年八月,虞允,1個月,用南明永曆年號（三年）。
天順,1661年,蕭惟堂,1年,
大慶,1665年四月,王耀祖,1個月,
廣德,1673年十二月,楊起隆,1個月,李崇智作1673年－1680年共8年，《清實錄》記載康熙十二年（1673年）十二月起兵旋敗，後七年被捕。
周啟,？,吳三桂,？,"該年號只見於《華夷變態》，從清朝康熙十三年（1674年）改元。但清代史料記載以國號紀年，稱周元年。
蕭一山《清代通史》作周咨。"
昭武,1678年三月－十二月,吳三桂,1年,昭武元年（1678年）十一月吳世璠即位沿用。
利用,？,吳三桂,？,李崇智認為是錢號不是年號。
洪化,1679年－1681年十月,吳世璠,3年,
裕民,？,耿精忠,？,李崇智認為是耿精忠私鑄錢「裕民通寶」的錢號。
文興,1704年－1706年九月,魏枝葉,3年,謝國楨《南明史略》作元興，李崇智認為是文興之誤。
元興,？,李天極、朱六非,？,見於謝國楨《南明史略》，李崇智認為是魏枝葉文興年號之誤。
永興,1708年冬季,錢寶通,1年,
天德,1708年,張念一,1年,
永和,1721年五月－閏六月,朱一貴,2個月,
天運,1786年十一月,林爽文,2個月,
順天,1787年－1788年正月,林爽文,2年,
天運,1795年三月,陳周全,1個月,
天運,1796年正月－八月,聶傑人、張正謨,8個月,湖北宜都、枝江白蓮教徒使用的年號。
天運,1796年二月－1798年正月,林之華、覃加耀,3年,見《軍機處錄副奏摺·覃加耀供詞》，云「偽立天運年號」。
萬利,1796年三月－1798年二月,王聰兒,3年,見石韞玉《擬平邪教摺》，云「造萬利紀年之偽號」。
仙大,1797年正月－八月,王囊仙,8個月,見《剿捕檔·韋朝元供詞》。
天順,1797年正月－八月,韋朝元,8個月,見《剿捕檔·韋朝元供詞》。
萬利,1797年,黎樹,1年,一作大慶。
大慶,1797年二月,王大叔,1個月,
光明,1805年四月－1809年八月,蔡牽,5年,見於《臺灣通史》。
天運,1811年,陳紀傳,1年,見《照抄陳紀傳花帖》，云「天運元年辛月未日」。
順天,1813年九月－十一月,李文成,3個月,見《軍機處錄副奏摺》林清供單，云「順天元年十月二十日」。
晏朝,1814年,朱毛俚,1年,
天心順,1823年十月－十一月,馬進忠,2個月,見《軍機處錄副奏摺》馬萬良供詞。
天運,？,楊良斌,？,見李純青《台灣問題研究》，稱楊良斌於1824年「自稱元帥，改年號為天運」。
金龍,1832年,趙金龍,5個月,道光十一年（1831年）十二月起兵，自稱金龍王，隔年四月被鎮壓。
天運,1832年十月－十二月,張丙、許成,3個月,
大明主,1832年十月－十二月,黃城,3個月,見丁曰健《治臺必告錄》。一說奉故明正朔「永曆」年號。
順天,1832年十月－十二月,梁辦、吳扁、陳委,3個月,見沈汝瀚《除氛錄》。
奉天,1832年十月－十二月,劉仲、蔡恭,3個月,見沈汝瀚《除氛錄》。
剛健,1836年二月,藍正樽,1個月,見《寶慶府志》。
天德,？,洪秀全,？,《清史稿》載咸豐元年（1851年）閏八月洪秀全建立太平天國，自稱天王，建元天德。但太平天國史料記載以國號加干支紀年，稱太平天國辛開元年。
洪順,1852年春季,彭運洪,1個月,《桂陽直隸州志》為彭運洪年號，翦伯贊《中外歷史年表》作李明先年號。
天德,1853年四月－十月,黃德美,7個月,"羅爾綱《太平天國史》為黃德美年號，李崇智作黃威年號。
起義布告稱「天德癸丑年」。小刀會其他支派也有用此年號。"
天德,1853年四月－七月,林恭,4個月,見《台灣省通志稿》第9卷。一作大德。
天運,1853年八月,劉麗川,1個月,起義布告稱「天運元年」。
天德,1853年十月,林萬青,1年,起義布告稱「天德叄年癸丑」。
嗣統,1854年,陳開,1年,起義文告稱「嗣統元年閏（七）月初三日」。
大寧,？,陳開,？,《南海縣志》記載「咸豐四年三月，倡亂佛山，偽號大寧」，但根據陳開的文告，並未用大寧年號，而是稱「太平甲寅年」。
洪德,1855年八月－1864年四月,陳開,10年,洪德七年（1861年）七月陳開被執殺，黃鼎鳳繼續使用至十年四月。
江漢,1854八月－1855年三月,楊龍喜,2年,一作姜漢，誤。
太平天德,1854年－1856年,朱洪英、胡有祿,3年,太平天國四年（1854年）九月建立升平天國，改元太平天德。
天運,1854年,鄺經全至,1年,見光緒《香山縣志》及趙沅英《紅兵紀事》，謂咸豐四年（1854年）時香山縣人鄺經全至自稱天運王，「改元天運」。
全福,？,杜文秀,？,見於李玉振《滇事述聞》。
江漢,1859年－1864年春,朱明月,6年,"用楊龍喜江漢年號（六年－十一年）。
《軍機處錄副奏摺》劉漢忠供詞記載「建元天運」。"
嗣統,1864年春－1868年三月,朱明月,5年,
