年號,起訖時間,使用年數,備註
受羅部真可汗予成（在位：464年－485年）,受羅部真可汗予成（在位：464年－485年）,受羅部真可汗予成（在位：464年－485年）,受羅部真可汗予成（在位：464年－485年）
永康,466年－484年,19年,"新疆《妙法蓮華經》殘本有「永康五年歲次庚戌（470年）」字樣。
高昌用該年號。"
伏古敦可汗豆崙（在位：485年－492年）,伏古敦可汗豆崙（在位：485年－492年）,伏古敦可汗豆崙（在位：485年－492年）,伏古敦可汗豆崙（在位：485年－492年）
太平,485年－491年,7年,高昌用該年號。
候其伏代庫者可汗那蓋（在位：492年－506年）,候其伏代庫者可汗那蓋（在位：492年－506年）,候其伏代庫者可汗那蓋（在位：492年－506年）,候其伏代庫者可汗那蓋（在位：492年－506年）
太安,492年－505年,14年,
佗汗可汗伏圖（在位：506年－508年）,佗汗可汗伏圖（在位：506年－508年）,佗汗可汗伏圖（在位：506年－508年）,佗汗可汗伏圖（在位：506年－508年）
始平,506年－507年,2年,
豆羅伏跋豆伐可汗醜奴（在位：508年－520年）,豆羅伏跋豆伐可汗醜奴（在位：508年－520年）,豆羅伏跋豆伐可汗醜奴（在位：508年－520年）,豆羅伏跋豆伐可汗醜奴（在位：508年－520年）
建昌,508年－520年,13年,
