年號,起訖時間,使用年數,備註
陳武帝陳霸先（在位：557年－559年）,陳武帝陳霸先（在位：557年－559年）,陳武帝陳霸先（在位：557年－559年）,陳武帝陳霸先（在位：557年－559年）
永定,557年十月－559年,3年,永定三年（559年）六月陳文帝即位沿用。
陳文帝陳蒨（在位：559年－566年）,陳文帝陳蒨（在位：559年－566年）,陳文帝陳蒨（在位：559年－566年）,陳文帝陳蒨（在位：559年－566年）
天嘉,560年正月－566年二月,7年,
天康,566年二月－十二月,1年,天康元年（566年）四月陳廢帝即位沿用。
陳廢帝陳伯宗（在位：566年－568年）,陳廢帝陳伯宗（在位：566年－568年）,陳廢帝陳伯宗（在位：566年－568年）,陳廢帝陳伯宗（在位：566年－568年）
光大,567年－568年,2年,
陳宣帝陳頊（在位：568年－582年）,陳宣帝陳頊（在位：568年－582年）,陳宣帝陳頊（在位：568年－582年）,陳宣帝陳頊（在位：568年－582年）
太建,569年正月－582年,14年,太建十四年（582年）正月陳後主即位沿用。
陳後主陳叔寶（在位：582年－589年）,陳後主陳叔寶（在位：582年－589年）,陳後主陳叔寶（在位：582年－589年）,陳後主陳叔寶（在位：582年－589年）
至德,583年正月－586年,4年,
禎明,587年正月－589年正月,3年,
