年號,起訖時間,使用年數,備註
齊高帝蕭道成（在位：479年－482年）,齊高帝蕭道成（在位：479年－482年）,齊高帝蕭道成（在位：479年－482年）,齊高帝蕭道成（在位：479年－482年）
建元,479年四月－482年,4年,建元四年（482年）三月齊武帝即位沿用。
齊武帝蕭賾（在位：482年－493年）,齊武帝蕭賾（在位：482年－493年）,齊武帝蕭賾（在位：482年－493年）,齊武帝蕭賾（在位：482年－493年）
永明,483年－493年,11年,永明十一年（493年）七月齊鬱林王即位沿用。
齊鬱林王蕭昭業（在位：493年－494年）,齊鬱林王蕭昭業（在位：493年－494年）,齊鬱林王蕭昭業（在位：493年－494年）,齊鬱林王蕭昭業（在位：493年－494年）
隆昌,494年正月－七月,1年,
齊海陵王蕭昭文（在位：494年）,齊海陵王蕭昭文（在位：494年）,齊海陵王蕭昭文（在位：494年）,齊海陵王蕭昭文（在位：494年）
延興,494年七月－十月,1年,
齊明帝蕭鸞（在位：494年－498年）,齊明帝蕭鸞（在位：494年－498年）,齊明帝蕭鸞（在位：494年－498年）,齊明帝蕭鸞（在位：494年－498年）
建武,494年十月－498年四月,5年,
永泰,498年四月－十二月,1年,永泰元年（498年）七月齊東昏侯即位沿用。
齊東昏侯蕭寶卷（在位：498年－501年）,齊東昏侯蕭寶卷（在位：498年－501年）,齊東昏侯蕭寶卷（在位：498年－501年）,齊東昏侯蕭寶卷（在位：498年－501年）
永元,499年－501年,3年,永元三年（501年）三月齊和帝即位改元，十二月蕭衍克建康，俘蕭寶卷。
齊和帝蕭寶融（在位：501年－502年）,齊和帝蕭寶融（在位：501年－502年）,齊和帝蕭寶融（在位：501年－502年）,齊和帝蕭寶融（在位：501年－502年）
中興,501年三月－502年三月,2年,
