年號,起訖時間,使用年數,備註
宋高宗趙構（在位：1127年－1162年）,宋高宗趙構（在位：1127年－1162年）,宋高宗趙構（在位：1127年－1162年）,宋高宗趙構（在位：1127年－1162年）
建炎,1127年五月－1130年,4年,
紹興,1131年－1162年,32年,紹興三十二年（1162年）六月宋孝宗即位沿用。
宋孝宗趙昚（在位：1162年－1189年）,宋孝宗趙昚（在位：1162年－1189年）,宋孝宗趙昚（在位：1162年－1189年）,宋孝宗趙昚（在位：1162年－1189年）
隆興,1163年－1164年,2年,
乾道,1165年－1173年,9年,
純熙,原定,原定,乾道九年（1173年）十一月詔告明年改元純熙，後更改為淳熙。
淳熙,1174年－1189年,16年,淳熙十六年（1189年）二月宋光宗即位沿用。
宋光宗趙惇（在位：1189年－1194年）,宋光宗趙惇（在位：1189年－1194年）,宋光宗趙惇（在位：1189年－1194年）,宋光宗趙惇（在位：1189年－1194年）
紹熙,1190年－1194年,5年,紹熙五年（1194年）七月宋寧宗即位。
宋寧宗趙擴（在位：1194年－1224年）,宋寧宗趙擴（在位：1194年－1224年）,宋寧宗趙擴（在位：1194年－1224年）,宋寧宗趙擴（在位：1194年－1224年）
慶元,1195年－1200年,6年,
嘉泰,1201年－1204年,4年,
開禧,1205年－1207年,3年,
嘉定,1208年－1224年,17年,嘉定十七年（1224年）閏八月宋理宗即位。
宋理宗趙昀（在位：1224年－1264年）,宋理宗趙昀（在位：1224年－1264年）,宋理宗趙昀（在位：1224年－1264年）,宋理宗趙昀（在位：1224年－1264年）
寶慶,1225年－1227年,3年,
紹定,1228年－1233年,6年,
端平,1234年－1236年,3年,
嘉熙,1237年－1240年,4年,
淳祐,1241年－1252年,12年,
寶祐,1253年－1258年,6年,
開慶,1259年,1年,
景定,1260年－1264年,5年,景定五年（1264年）十月宋度宗即位。
宋度宗趙禥（在位：1264年－1274年）,宋度宗趙禥（在位：1264年－1274年）,宋度宗趙禥（在位：1264年－1274年）,宋度宗趙禥（在位：1264年－1274年）
咸淳,1265年－1274年,10年,咸淳十年（1274年）七月宋恭帝即位。
宋恭帝趙㬎（在位：1274年－1276年）,宋恭帝趙㬎（在位：1274年－1276年）,宋恭帝趙㬎（在位：1274年－1276年）,宋恭帝趙㬎（在位：1274年－1276年）
德祐,1275年－1276年四月,2年,
宋端宗趙昰（在位：1276年－1278年）,宋端宗趙昰（在位：1276年－1278年）,宋端宗趙昰（在位：1276年－1278年）,宋端宗趙昰（在位：1276年－1278年）
景炎,1276年五月－1278年四月,3年,
宋少帝趙昺（在位：1278年－1279年）,宋少帝趙昺（在位：1278年－1279年）,宋少帝趙昺（在位：1278年－1279年）,宋少帝趙昺（在位：1278年－1279年）
祥興,1278年五月－1279年二月,2年,
