年號,起訖時間,使用年數,備註
唐烈祖李昪（在位：937年－943年）,唐烈祖李昪（在位：937年－943年）,唐烈祖李昪（在位：937年－943年）,唐烈祖李昪（在位：937年－943年）
昇元,937年十月－943年二月,7年,或作升元。
唐元宗李璟（在位：943年－961年）,唐元宗李璟（在位：943年－961年）,唐元宗李璟（在位：943年－961年）,唐元宗李璟（在位：943年－961年）
保大,943年三月－957年,15年,馬楚用此年號。
中興,958年正月－二月,1年,
交泰,958年三月－五月,1年,《唐餘紀傳》記載使用至四年。
顯德,958年五月－960年,3年,用後周顯德年號（五年－七年）。
建隆,960年正月－961年六月,2年,用北宋建隆年號（元年－二年）。
唐後主李煜（在位：961年－975年）,唐後主李煜（在位：961年－975年）,唐後主李煜（在位：961年－975年）,唐後主李煜（在位：961年－975年）
建隆,961年七月－963年十一月,3年,用北宋建隆年號（二年－四年）。
乾德,963年十一月－968年十一月,6年,用北宋乾德年號（元年－六年）。
開寶,968年十一月－974年閏十月,7年,用北宋開寶年號（元年－七年）。開寶七年（974年）閏十月去宋年號，改用干支紀年。
