年號,起訖時間,使用年數,備註
吳大帝孫權（在位：222年－252年）,吳大帝孫權（在位：222年－252年）,吳大帝孫權（在位：222年－252年）,吳大帝孫權（在位：222年－252年）
黃武,222年十月－229年四月,8年,
黃龍,229年四月－231年,3年,
嘉禾,232年－238年八月,7年,
赤烏,238年八月－251年四月,14年,
太元,251年五月－252年正月,2年,
神鳳,252年二月－四月,1年,
吳會稽王孫亮（在位：252年－258年）,吳會稽王孫亮（在位：252年－258年）,吳會稽王孫亮（在位：252年－258年）,吳會稽王孫亮（在位：252年－258年）
建興,252年四月－253年,2年,
五鳳,254年－256年十月,3年,
太平,256年十月－258年十月,3年,
吳景帝孫休（在位：258年－264年）,吳景帝孫休（在位：258年－264年）,吳景帝孫休（在位：258年－264年）,吳景帝孫休（在位：258年－264年）
永安,258年十月－264年六月,7年,
吳末帝孫皓（在位：264年－280年）,吳末帝孫皓（在位：264年－280年）,吳末帝孫皓（在位：264年－280年）,吳末帝孫皓（在位：264年－280年）
元興,264年七月－265年三月,2年,
甘露,265年四月－266年七月,2年,
寶鼎,266年八月－269年九月,4年,
建衡,269年十月－271年,3年,
鳳凰,272年－274年,3年,
天冊,275年－276年六月,2年,《吳志·陸胤傳》作天策。
天璽,276年七月－十二月,1年,
天紀,277年－280年三月,4年,
