年號,起訖時間,使用年數,備註
唐高祖李淵（在位：618年－626年）,唐高祖李淵（在位：618年－626年）,唐高祖李淵（在位：618年－626年）,唐高祖李淵（在位：618年－626年）
武德,618年五月－626年,9年,武德九年（626年）八月唐太宗即位沿用。
唐太宗李世民（在位：626年－649年）,唐太宗李世民（在位：626年－649年）,唐太宗李世民（在位：626年－649年）,唐太宗李世民（在位：626年－649年）
貞觀,627年－649年,23年,"或作正觀、真觀。
貞觀二十三年（649年）六月唐高宗即位沿用。"
唐高宗李治（在位：649年－683年）,唐高宗李治（在位：649年－683年）,唐高宗李治（在位：649年－683年）,唐高宗李治（在位：649年－683年）
永徽,650年－655年,6年,
顯慶,656年正月－661年二月,6年,為避諱唐中宗李顯的名字，因此唐朝人追稱顯慶年號多稱明慶，又作光慶。
龍朔,661年三月－663年,3年,《封氏聞見記》誤作龍翔。
麟德,664年－665年,2年,《舊唐書》、《新唐書》都稱是龍朔三年十二月，詔改明年正月一日為麟德元年。但是新疆吐魯番出土的《唐紀元鈔》則記載「龍朔四年六月一日改」，與史書的記載相差半年。
乾封,666年正月－668年二月,3年,
總章,668年二月－670年二月,3年,《舊唐書》和新疆出土的《唐紀元鈔》作乾封三年二月改元總章元年，《新唐書》和《資治通鑑》作乾封三年三月改元。
咸亨,670年三月－674年八月,5年,
上元,674年八月－676年十一月,3年,
儀鳳,676年十一月－679年六月,4年,
乾通,原定,原定,儀鳳三年（678年）四月敕令明年改元乾通，十二月敕停不行。
調露,679年六月－680年八月,2年,
永隆,680年八月－681年九月,2年,因避諱唐玄宗李隆基的名字，唐朝人多稱永崇。
開耀,681年九月－682年二月,2年,
永淳,682年二月－683年,2年,
弘道,683年十二月,1個月,
唐中宗李顯（在位：683年－684年）,唐中宗李顯（在位：683年－684年）,唐中宗李顯（在位：683年－684年）,唐中宗李顯（在位：683年－684年）
嗣聖,684年正月－二月,2個月,
唐睿宗李旦（在位：684年－690年；684年九月後，武后臨朝稱制）,唐睿宗李旦（在位：684年－690年；684年九月後，武后臨朝稱制）,唐睿宗李旦（在位：684年－690年；684年九月後，武后臨朝稱制）,唐睿宗李旦（在位：684年－690年；684年九月後，武后臨朝稱制）
文明,684年二月－八月,7個月,
光宅,684年九月－十二月,4個月,
垂拱,685年－688年,4年,
永昌,689年正月－十月,10個月,
載初,690年正月－690年八月,2年,從元年起用子正，改永昌元年十一月為載初元年正月。
