年號,起訖時間,使用年數,備註
唐中宗李顯（在位：705年－710年）,唐中宗李顯（在位：705年－710年）,唐中宗李顯（在位：705年－710年）,唐中宗李顯（在位：705年－710年）
景龍,707年九月－710年六月,4年,
唐殤帝李重茂（在位：710年）,唐殤帝李重茂（在位：710年）,唐殤帝李重茂（在位：710年）,唐殤帝李重茂（在位：710年）
唐隆,710年六月－七月,2個月,或作唐元、唐興、唐安。
唐睿宗李旦（在位：710年－712年）,唐睿宗李旦（在位：710年－712年）,唐睿宗李旦（在位：710年－712年）,唐睿宗李旦（在位：710年－712年）
景雲,710年七月－712年正月,3年,
太極,712年正月－四月,4個月,
延和,712年五月－八月,4個月,
唐玄宗李隆基（在位：712年－756年）,唐玄宗李隆基（在位：712年－756年）,唐玄宗李隆基（在位：712年－756年）,唐玄宗李隆基（在位：712年－756年）
先天,712年八月－713年十一月,2年,
開元,713年十二月－741年,29年,
天寶,742年－756年七月,15年,天寶三年（744年）正月朔改「年」為「載」。
唐肅宗李亨（在位：756年－762年）,唐肅宗李亨（在位：756年－762年）,唐肅宗李亨（在位：756年－762年）,唐肅宗李亨（在位：756年－762年）
至德,756年七月－758年二月,3年,稱「年」為「載」。
乾元,758年二月－760年閏四月,3年,乾元元年（758年）二月復載為年。
上元,760年閏四月－761年九月,2年,上元二年（761年）九月二十一日去年號，稱元年，以建子月為歲首。
寶應,762年四月－763年六月,2年,恢復寅正；四月二十日唐代宗即位沿用。
唐代宗李豫（在位：762年－779年）,唐代宗李豫（在位：762年－779年）,唐代宗李豫（在位：762年－779年）,唐代宗李豫（在位：762年－779年）
廣德,763年七月－764年,2年,當時河西走廊被吐蕃占領，唐朝西域與中原隔絕，西域將士不知道唐朝已改元，仍繼續使用廣德年號，有文物顯示他們至少使用該年號到「廣德四年」（766年）。
永泰,765年－766年十一月,2年,因吐蕃騷擾阻礙交通，與中原交通不便的西州、庭州仍用永泰年號至少直至「永泰三年」（767年）。
大曆,766年十一月－779年,14年,"大曆十四年（779年）五月唐德宗即位沿用。
當時于闐因與中原阻隔，不知唐朝早已改元，故沿用該年號，有文書署年到「大曆十七年」（782年）。"
唐德宗李适（在位：779年－ 805年）,唐德宗李适（在位：779年－ 805年）,唐德宗李适（在位：779年－ 805年）,唐德宗李适（在位：779年－ 805年）
