年號,起訖時間,君主,使用時間,備註
天壽,618年九月－619年二月,宇文化及,2年,
昌達,618年十月－619年閏二月,朱粲,2年,《舊唐書》和《資治通鑑》記載618年十月建元，《隋書》為615年十二月。
始興,618年十二月－624年二月,高開道,7年,或作天成。
法輪,618年十二月,高曇晟,1個月,
開明,619年四月－621年五月,王世充,3年,
延康,619年九月－620年,沈法興,2年,
明政,619年九月－621年十一月,李子通,3年,
天造,622年－623年正月,劉黑闥,2年,
天明,623年八月－624年三月,輔公祏,2年,
乾德,？,輔公祏,2年,《玉海》載有乾德年號。《廿二史考異》引《楊文公談苑》，江南曾發現有石志，刻有「大宋乾德四年」字，稱是輔公祏年號。李崇智認為輔公祏起兵到被殺，前後只有8個月，不會有乾德四年，因之認為乾德非輔公祏年號。
進通,623年,王摩沙,1年,
中元克復,710年七月－八月,李重福,2個月,或作中宗克復。
聖武,756年－757年,安祿山,2年,《新唐書》稱757年正月，安慶緒即位改元載初。但大量的出土墓誌表明，「聖武」年號最遲用至聖武二年十月。
載初,？,安慶緒,？,該年號僅見於《新唐書·安慶緒傳》，《舊唐書》和《資治通鑒》均不載。根據出土墓誌可知，安慶緒並無此年號。
天成,758年正月－759年三月,安慶緒,2年,"或作天和、至成。
《大燕故程府君墓誌銘並序》（程思泰墓誌）稱程思泰在「天成元年歲次戊戌九月庚午朔三日壬申」下葬。可知天成元年為758年。"
應天,759年正月－三月,史思明,3個月,
順天,759年四月－761年三月,史思明,3年,
顯聖,761年三月－763年正月,史朝義,3年,
黃龍,761年四月－五月,段子璋,2個月,
正德,761年,李珍,1年,僅見羅振玉《校增紀元編》，新舊《唐書》及《通鑑》均未記載。
寶勝,762年八月－763年四月,袁晁,2年,或作昇國。
？？,763年十月－十二月,李承宏,1年,新舊《唐書》及《通鑑》記載建立年號，名稱不明。
應天,783年十月－十二月,朱泚,3個月,國號秦，立兄子朱遂為太子。
天皇,784年正月－六月,朱泚,6個月,改國號為漢，與朱滔呼應。
武成,784年－786年四月,李希烈,3年,
羅平,860年二月－八月,裘甫,7個月,
王霸,878年二月－880年十一月,黃巢,3年,
金統,880年十二月－884年六月,黃巢,5年,
龍紀,？,秦宗權,？,柏楊《中國歷史年表》作885年秦宗權建元龍紀，使用至888年。
建貞,886年十月－十二月,李熅,3個月,或作永貞。
順天,895年二月－896年五月,董昌,2年,或作大聖、天冊、天聖。
天壽,？,李縝,？,見於《玉海》，他書皆無，或為誤記。
