年號,起訖時間,使用年數,備註
漢武帝劉徹（在位：前141年－前87年）,漢武帝劉徹（在位：前141年－前87年）,漢武帝劉徹（在位：前141年－前87年）,漢武帝劉徹（在位：前141年－前87年）
建元,前140年－前135年,6年,用亥正。有學者說年號為後來追述，當時以一元紀年。
元光,前134年－前129年,6年,用亥正。有學者說年號為後來追述，當時以二元紀年。
元朔,前128年－前123年,6年,用亥正。有學者說年號為後來追述，當時以三元紀年。
元狩,前122年－前117年,6年,用亥正。有學者說年號為後來追述，當時以四元紀年。
元鼎,前116年－前111年,6年,用亥正。有學者說年號為後來追述，當時以五元紀年。
元封,前110年－前104年四月,7年,"用亥正。第一個有詔書的年號。
有學者說年號為後來追述，當時以六元紀年。"
太初,前104年五月－前101年,4年,
天漢,前100年－前97年,4年,
太始,前96年－前93年,4年,
征和,前92年－前89年,4年,又作延和。
後元,前88年－前87年,2年,"後元二年（前87年）二月漢昭帝即位沿用。
有爭議，有學者說可能不是年號。"
漢昭帝劉弗陵（在位：前87年－前74年）,漢昭帝劉弗陵（在位：前87年－前74年）,漢昭帝劉弗陵（在位：前87年－前74年）,漢昭帝劉弗陵（在位：前87年－前74年）
始元,前86年－前80年七月,7年,
元鳳,前80年八月－前75年,6年,
元平,前74年,1年,元平元年（前74年）七月漢宣帝即位沿用。
漢宣帝劉詢（在位：前74年－前49年）,漢宣帝劉詢（在位：前74年－前49年）,漢宣帝劉詢（在位：前74年－前49年）,漢宣帝劉詢（在位：前74年－前49年）
本始,前73年－前70年,4年,
地節,前69年－前66年,4年,
元康,前65年－前61年二月,5年,
神爵,前61年三月－前58年,4年,
五鳳,前57年－前54年,4年,
甘露,前53年－前50年,4年,
黃龍,前49年,1年,黃龍元年（前49年）十二月漢元帝即位沿用。
漢元帝劉奭（在位：前48年－前33年）,漢元帝劉奭（在位：前48年－前33年）,漢元帝劉奭（在位：前48年－前33年）,漢元帝劉奭（在位：前48年－前33年）
初元,前48年－前44年,5年,
永光,前43年－前39年,5年,
建昭,前38年－前34年,5年,
竟寧,前33年,1年,竟寧元年（前33年）六月漢成帝即位沿用。
漢成帝劉驁（在位：前33年－前7年）,漢成帝劉驁（在位：前33年－前7年）,漢成帝劉驁（在位：前33年－前7年）,漢成帝劉驁（在位：前33年－前7年）
建始,前32年－前28年二月,5年,
河平,前28年三月－前25年,4年,
陽朔,前24年－前21年,4年,
鴻嘉,前20年－前17年,4年,
永始,前16年－前13年,4年,
元延,前12年－前9年,4年,
綏和,前8年－前7年,2年,綏和二年（前7年）四月漢哀帝即位沿用。
漢哀帝劉欣（在位：前7年－前1年）,漢哀帝劉欣（在位：前7年－前1年）,漢哀帝劉欣（在位：前7年－前1年）,漢哀帝劉欣（在位：前7年－前1年）
建平,前6年－前3年,4年,建平二年（前5年）六月改元太初元將，八月改回建平二年。
太初元將,前5年六月－八月,1年,又作「太初」。
元壽,前2年－前1年,2年,或作元受。元壽二年（前1年）九月漢平帝即位沿用。
漢平帝劉衎（在位：前1年－5年）,漢平帝劉衎（在位：前1年－5年）,漢平帝劉衎（在位：前1年－5年）,漢平帝劉衎（在位：前1年－5年）
元始,1年－5年,5年,
漢孺子劉嬰（在位：6年－8年）,漢孺子劉嬰（在位：6年－8年）,漢孺子劉嬰（在位：6年－8年）,漢孺子劉嬰（在位：6年－8年）
居攝,6年－8年十一月,3年,王莽攝政，代行皇帝之權。
初始,8年十一月,1年,或作始初。
