年號,起訖時間,使用年數,備註
晉武帝司馬炎（在位：265年－290年）,晉武帝司馬炎（在位：265年－290年）,晉武帝司馬炎（在位：265年－290年）,晉武帝司馬炎（在位：265年－290年）
泰始,265年十二月－274年,10年,
咸寧,275年－280年四月,6年,
太康,280年四月－289年,10年,
太熙,290年正月－四月,1年,
晉惠帝司馬衷（在位：290年－306年）,晉惠帝司馬衷（在位：290年－306年）,晉惠帝司馬衷（在位：290年－306年）,晉惠帝司馬衷（在位：290年－306年）
永熙,290年四月－十二月,1年,
永平,291年正月－三月,1年,
元康,291年三月－299年,9年,
永康,300年－301年四月,2年
永寧,301年四月－302年十一月,2年,
太安,302年十二月－303年,2年,或作大安。
永安,304年正月－七月、十一月,1年,七月改元建武元年，同年十一月復稱永安，次月又改元為永興元年。
建武,304年七月－十一月,1年,七月改元建武元年，同年十一月復稱永安，次月又改元為永興元年。
永興,304年十二月－306年六月,3年,
光熙,306年六月－十二月,7個月,光熙元年（306年）十一月晉懷帝即位沿用。
晉懷帝司馬熾（在位：306年－313年）,晉懷帝司馬熾（在位：306年－313年）,晉懷帝司馬熾（在位：306年－313年）,晉懷帝司馬熾（在位：306年－313年）
永嘉,307年－313年四月,7年,
晉愍帝司馬鄴（在位：313年－316年）,晉愍帝司馬鄴（在位：313年－316年）,晉愍帝司馬鄴（在位：313年－316年）,晉愍帝司馬鄴（在位：313年－316年）
建興,313年四月－317年三月,5年,"也有只記到晉愍帝投降前趙時的建興四年。
前涼沿用該年號。"
