年號,起訖時間,使用年數,備註
遼德宗耶律大石（在位：1132年－1143年）,遼德宗耶律大石（在位：1132年－1143年）,遼德宗耶律大石（在位：1132年－1143年）,遼德宗耶律大石（在位：1132年－1143年）
延慶,1124年二月－1133年,10年,一作始於1125年。
康國,1134年－1143年,10年,一作始於1127年。
遼感天后蕭塔不煙（在位：1143年－1150年）,遼感天后蕭塔不煙（在位：1143年－1150年）,遼感天后蕭塔不煙（在位：1143年－1150年）,遼感天后蕭塔不煙（在位：1143年－1150年）
咸清,1144年－1150年,7年,一作始於1136年十一月。
感天,？,？,清代有錢幣「感天元寶」之記載，有人認為是蕭塔不煙的年號。然而現代研究認為是越南「天感元寶」之誤。
遼仁宗耶律夷列（在位：1150年－1163年）,遼仁宗耶律夷列（在位：1150年－1163年）,遼仁宗耶律夷列（在位：1150年－1163年）,遼仁宗耶律夷列（在位：1150年－1163年）
續興,1151年－1163年,13年,"一作始於1142年十一月。
《遼史》作紹興，吉爾吉斯出土西遼錢幣「續興元寶」，或為遼仁宗的年號。"
遼承天后耶律普速完（在位：1163年－1177年）,遼承天后耶律普速完（在位：1163年－1177年）,遼承天后耶律普速完（在位：1163年－1177年）,遼承天后耶律普速完（在位：1163年－1177年）
崇福,1164年－1177年,14年,一作始於1154年十二月。
皇德,？,？,
重德,？,？,未詳何時。梁玉繩認為耶律大石字重德，重德作為年號是誤記。
遼末主耶律直魯古（在位：1177年－1211年）,遼末主耶律直魯古（在位：1177年－1211年）,遼末主耶律直魯古（在位：1177年－1211年）,遼末主耶律直魯古（在位：1177年－1211年）
天喜,1178年－1211年,34年,"一作1168年十一月－1201年。
《遼史》作「天禧」，據吉爾吉斯出土的西遼錢幣，實際作「天喜」。"
