年號,起訖時間,使用年數,備註
秦宣烈王乞伏國仁（在位：385年－388年）,秦宣烈王乞伏國仁（在位：385年－388年）,秦宣烈王乞伏國仁（在位：385年－388年）,秦宣烈王乞伏國仁（在位：385年－388年）
建義,385年九月－388年六月,4年,
秦武元王乞伏乾歸（在位：388年－400年；409年－412年）,秦武元王乞伏乾歸（在位：388年－400年；409年－412年）,秦武元王乞伏乾歸（在位：388年－400年；409年－412年）,秦武元王乞伏乾歸（在位：388年－400年；409年－412年）
太初,388年六月－400年七月,13年,
更始,409年七月－412年八月,4年,400年七月降於南涼，八月又降於後秦，409年復國。
秦文昭王乞伏熾磐（在位：412年－428年）,秦文昭王乞伏熾磐（在位：412年－428年）,秦文昭王乞伏熾磐（在位：412年－428年）,秦文昭王乞伏熾磐（在位：412年－428年）
永康,412年八月－419年,8年,
建弘,420年－428年五月,9年,
秦後主乞伏暮末（在位：428年－431年）,秦後主乞伏暮末（在位：428年－431年）,秦後主乞伏暮末（在位：428年－431年）,秦後主乞伏暮末（在位：428年－431年）
永弘,428年五月－431年正月,4年,
