年號,起訖時間,使用年數,備註
慕容泓,慕容泓,慕容泓,慕容泓
燕興,384年四月－十二月,1年,
燕威帝慕容沖（在位：385年－386年）,燕威帝慕容沖（在位：385年－386年）,燕威帝慕容沖（在位：385年－386年）,燕威帝慕容沖（在位：385年－386年）
更始,385年正月－386年二月,2年,
段隨（在位：386年）,段隨（在位：386年）,段隨（在位：386年）,段隨（在位：386年）
昌平,386年二月－三月,1年,
慕容顗（在位：386年）,慕容顗（在位：386年）,慕容顗（在位：386年）,慕容顗（在位：386年）
建明,386年三月,1年,
慕容瑤（在位：386年）,慕容瑤（在位：386年）,慕容瑤（在位：386年）,慕容瑤（在位：386年）
建平,386年三月,1年,
慕容忠（在位：386年）,慕容忠（在位：386年）,慕容忠（在位：386年）,慕容忠（在位：386年）
建武,386年三月－九月,1年,
慕容永（在位：386年－394年）,慕容永（在位：386年－394年）,慕容永（在位：386年－394年）,慕容永（在位：386年－394年）
中興,386年十月－394年八月,9年,
