年號,起訖時間,使用年數,備註
吳越太祖錢鏐（在位：907年－932年）,吳越太祖錢鏐（在位：907年－932年）,吳越太祖錢鏐（在位：907年－932年）,吳越太祖錢鏐（在位：907年－932年）
天祐,907年五月,1個月,用唐朝天祐年號（四年）。
天寶,908年－912年,5年,
鳳曆,913年正月,1個月,用後梁鳳曆年號（元年）。
乾化,913年二月－915年十月,3年,用後梁乾化年號（三年－五年）。
貞明,915年十一月－921年四月,7年,用後梁貞明年號（元年－七年）。
龍德,921年五月－923年,3年,用後梁龍德年號（元年－三年）。
寶大,924年－925年,2年,或作寶太。
寶正,926年－931年,6年,或作寶貞、保貞。
廣初,？,？,見於《玉海》，不詳何時。
正明,？,？,見於《紀元編》，不詳何時。
吳越世宗錢元瓘（在位：932年－941年）,吳越世宗錢元瓘（在位：932年－941年）,吳越世宗錢元瓘（在位：932年－941年）,吳越世宗錢元瓘（在位：932年－941年）
長興,932年四月－933年,2年,用後唐長興年號（三年－四年）。
應順,934年正月－四月,4個月,用後唐應順年號（元年）。
清泰,934年四月－936年閏十一月,3年,用後唐清泰年號（元年－三年）。
天福,936年十一月－941年,6年,用後晉天福年號（元年－六年）。
吳越成宗錢弘佐（在位：941年－947年）,吳越成宗錢弘佐（在位：941年－947年）,吳越成宗錢弘佐（在位：941年－947年）,吳越成宗錢弘佐（在位：941年－947年）
天福,941年九月－944年六月,4年,用後晉天福年號（六年－九年）。
開運,944年七月－946年,3年,用後晉開運年號（元年－三年）。
會同,947年,1年,用遼會同年號（十年）。
吳越忠遜王錢弘倧（在位：947年）,吳越忠遜王錢弘倧（在位：947年）,吳越忠遜王錢弘倧（在位：947年）,吳越忠遜王錢弘倧（在位：947年）
會同,947年六月－閏七月,1年,用遼會同年號（十年）
天福,947年八月－十二月,1年,用後晉天福年號（十二年）。
吳越忠懿王錢弘俶（在位：948年－978年）,吳越忠懿王錢弘俶（在位：948年－978年）,吳越忠懿王錢弘俶（在位：948年－978年）,吳越忠懿王錢弘俶（在位：948年－978年）
乾祐,948年－950年,3年,用後漢乾祐年號（元年－三年）。
廣順,951年－953年,3年,用後周廣順年號（元年－三年）。
顯德,954年－960年正月,7年,用後周顯德年號（元年－七年）。
建隆,960年－963年十一月,4年,用北宋建隆年號（元年－四年）。
乾德,963年十一月－968年十一月,6年,用北宋乾德年號（元年－六年）。
開寶,968年十一月－976年,9年,用北宋開寶年號（元年－九年）。
太平興國,976年十二月－978年五月,3年,用北宋太平興國年號（元年－三年）。
