年號,起訖時間,使用年數,備註
梁武帝蕭衍（在位：502年－549年）,梁武帝蕭衍（在位：502年－549年）,梁武帝蕭衍（在位：502年－549年）,梁武帝蕭衍（在位：502年－549年）
天監,502年四月－519年,18年,
普通,520年－527年三月,8年,
大通,527年三月－529年九月,3年,
中大通,529年十月－534年,6年,
大同,535年－546年四月,12年,
中大同,546年四月－547年四月,2年,
太清,547年四月－549年,3年,太清三年（549年）五月梁簡文帝即位沿用，蕭紀沿用至六年（552年）四月，蕭繹沿用至六年（552年）十一月。
梁簡文帝蕭綱（在位：549年－551年）,梁簡文帝蕭綱（在位：549年－551年）,梁簡文帝蕭綱（在位：549年－551年）,梁簡文帝蕭綱（在位：549年－551年）
大寶,550年－551年,2年,
梁豫章王蕭棟（在位：551年）,梁豫章王蕭棟（在位：551年）,梁豫章王蕭棟（在位：551年）,梁豫章王蕭棟（在位：551年）
天正,551年八月－十一月,1年,
梁元帝蕭繹（在位：552年－554年）,梁元帝蕭繹（在位：552年－554年）,梁元帝蕭繹（在位：552年－554年）,梁元帝蕭繹（在位：552年－554年）
承聖,552年十一月－555年四月,4年,
梁貞陽侯蕭淵明（在位：555年）,梁貞陽侯蕭淵明（在位：555年）,梁貞陽侯蕭淵明（在位：555年）,梁貞陽侯蕭淵明（在位：555年）
天成,555年五月－十月,1年,
梁敬帝蕭方智（在位：555年－557年）,梁敬帝蕭方智（在位：555年－557年）,梁敬帝蕭方智（在位：555年－557年）,梁敬帝蕭方智（在位：555年－557年）
紹泰,555年十月－556年八月,2年,
太平,556年九月－557年十月,2年,
