年號,起訖時間,使用年數,備註
元世祖忽必烈（在位：1260年－1294年）,元世祖忽必烈（在位：1260年－1294年）,元世祖忽必烈（在位：1260年－1294年）,元世祖忽必烈（在位：1260年－1294年）
中統,1260年五月－1264年八月,5年,
至元,1264年八月－1294年,31年,至元三十一年（1294年）四月元成宗即位沿用。
元成宗鐵穆耳（在位：1294年－1307年）,元成宗鐵穆耳（在位：1294年－1307年）,元成宗鐵穆耳（在位：1294年－1307年）,元成宗鐵穆耳（在位：1294年－1307年）
元貞,1295年－1297年正月,3年,
大德,1297年二月－1307年,11年,大德十一年（1307年）五月元武宗即位沿用。
元武宗海山（在位：1307年－1311年）,元武宗海山（在位：1307年－1311年）,元武宗海山（在位：1307年－1311年）,元武宗海山（在位：1307年－1311年）
至大,1308年－1311年,4年,至大四年（1311年）三月元仁宗即位沿用。
元仁宗愛育黎拔力八達（在位：1311年－1320年）,元仁宗愛育黎拔力八達（在位：1311年－1320年）,元仁宗愛育黎拔力八達（在位：1311年－1320年）,元仁宗愛育黎拔力八達（在位：1311年－1320年）
皇慶,1312年－1313年,2年,
延祐,1314年正月－1320年,7年,延祐七年（1320年）三月元英宗即位沿用。
元英宗碩德八剌（在位：1320年－1323年）,元英宗碩德八剌（在位：1320年－1323年）,元英宗碩德八剌（在位：1320年－1323年）,元英宗碩德八剌（在位：1320年－1323年）
至治,1321年－1323年,3年,至治三年（1323年）九月元泰定帝即位沿用。
元泰定帝也孫鐵木兒（在位：1323年－1328年）,元泰定帝也孫鐵木兒（在位：1323年－1328年）,元泰定帝也孫鐵木兒（在位：1323年－1328年）,元泰定帝也孫鐵木兒（在位：1323年－1328年）
泰定,1324年－1328年二月,5年,
致和,1328年二月－九月,1年,
元天順帝阿剌吉八（在位：1328年）,元天順帝阿剌吉八（在位：1328年）,元天順帝阿剌吉八（在位：1328年）,元天順帝阿剌吉八（在位：1328年）
天順,1328年九月－十月,1年,
元文宗圖帖睦爾（在位：1328年－1332年）,元文宗圖帖睦爾（在位：1328年－1332年）,元文宗圖帖睦爾（在位：1328年－1332年）,元文宗圖帖睦爾（在位：1328年－1332年）
天曆,1328年九月－1330年五月,3年,天曆二年（1329年）三月至八月傳位給元明宗。
至順,1330年五月－1333年十月,4年,至順三年（1332年）八月元文宗死，十月元寧宗即位沿用；十一月元寧宗死，四年（1333年）六月元惠宗即位沿用。
元惠宗妥懽帖睦爾（在位：1333年－1370年）,元惠宗妥懽帖睦爾（在位：1333年－1370年）,元惠宗妥懽帖睦爾（在位：1333年－1370年）,元惠宗妥懽帖睦爾（在位：1333年－1370年）
元統,1333年十月－1335年十一月,3年,
至元,1335年十一月－1340年,6年,
至正,1341年－1370年,30年,至正三十年（1370年）四月元昭宗即位沿用。
