年號,起訖時間,君主,使用時間,備註
萬乘,1280年四月,杜可用,1個月,
昌泰,1281年八月－十一月,陳吊眼,4個月,
延康,1283年三月,林桂方、趙良鈐,1個月,或作建康。
祥興,1283年十月－1284年正月,黃華,2年,用南宋祥興年號（五年－六年）。
？？,1284年九月,黎德、區將軍,1個月,《招捕總錄》記載建立年號，名稱不明。
安定,1289年二月－十月,楊鎮龍,9個月,
正治,1297年十月,陳空崖,1個月,
己巳,1328年五月,陳慶安,1個月,《元史·泰定帝紀》失載年號名稱。見於戴玄之《中國秘密宗教與秘密會社》，云「陳慶安起兵，建國號，改元己巳」。
正朔,1336年五月,周子旺,1個月,《元史·順帝紀》失載年號名稱。見於王清淮《中國邪教史》，云「推舉周子旺為周王，並改元正朔」。
赤符,1337年正月－七月,朱光卿,7個月,
治平,1351年十月－1355年,徐壽輝,4年,傳世《統軍元帥府印》有「治平四年月日」，使用至少有4年。《玄宮之碑》以1350年為治平元年。
太平,1356年－1358年七月,徐壽輝,3年,
天啟,1358年八月－1359年三月,徐壽輝,3年,《紀元編》謂「一作治平」。
天定,1359年四月－1360年閏五月,徐壽輝,2年,有學者誤作「大義」，有學者認為天定年號只能代表陳友諒政權，也有人認為是陳友諒政權的年號。
正朔,？,趙普勝,,僅見於《紀元編》。
天佑,1354年－1357年八月,張士誠,4年,文獻作天佑或天祐，有出土銅錢「天佑通寶」可証。
龍鳳,1355年二月－1366年十二月,韓林兒,12年,
興定,？,韓林兒,？,僅見於《湧幢小品》，鍾淵映謂是金宣宗的年號。
大義,1360年閏五月－1363年八月,陳友諒,4年,或作1360年共2年。劉夏《劉尚賓文集·禱雨龍王文》署年「大義二年歲次辛丑」，康熙《沔陽州志》記載崇禎十四年（1641年）修城掘得舊磚，上有「大義三年」字樣，使用至少有3年。
大定,？,陳友諒,？,《新元史》記載1361年改元，共3年。有學者認為是徐壽輝的天定年號的訛誤。
德壽,1363年九月－1364年二月,陳理,2年,
天啟,1361年十月－1362年,明玉珍,2年,明玉珍入蜀稱王後奉行徐壽輝的天啟年號。
天統,1363年－1366年,明玉珍,4年,"《新元史》作大統。
天統四年（1366年）二月明昇即位沿用。"
開熙,1367年－1371年六月,明昇,5年,
甲辰,？,朱元璋,？,有學者認為，朱元璋在韓宋龍鳳十年（1364年）起在新征服的江西、湖廣一帶使用「甲辰」紀年，核心統治區依舊使用龍鳳年號。
吳元,？,朱元璋,？,該年號只見於俞本《紀事錄》，從元朝至正二十七年（1367年）改元，歷2年。但明代史料記載以國號紀年，稱吳元年。
宣光,？,把匝剌瓦爾密,？,倪蛻《滇雲歷年傳》記載把匝於至正二十七年（1367年）自立為梁王，改元宣光，但根據雲南出土文物的紀年，實際是奉北元宣光年號。
